Name,Icon,Type,Charges,Guilds,Flags,MonGrp,MonEffect,StrMod,DexMod,DefMod,DmgRed,Spell,SpellLvl,Skill,SkillLvl,AgiMod,IniMod,CanRemove,CanTrade,InfoMsg,BuyAt,SellAt
Menteth's Maul,10,1,8,224,0,0,0,9,250,252,209,4,8,16,255,254,254,0,0,23,0,400
Aldhelm's Gauntlets,52,6,10,0,0,0,0,5,50,5,56,20,3,16,255,1,0,0,0,26,0,750
Alfred's Gloves,35,6,10,32,0,0,0,1,20,7,77,14,8,16,255,2,2,0,0,26,0,750
Gorgon's Gauntlets,52,6,5,72,0,12,11,7,200,2,47,9,10,16,255,0,0,0,0,0,0,8000
Adamantine Glove,35,6,5,0,0,9,7,6,130,9,113,21,8,16,255,3,3,0,0,0,0,10000
Ivar's Gauntlets,52,6,5,124,0,0,0,1,5,2,15,14,3,16,255,0,1,0,0,26,0,750
Berserker Talisman,32,9,5,0,0,0,0,1,5,0,0,255,0,2,8,0,0,1,1,29,0,5
Binding Talisman,32,9,5,0,0,0,0,0,0,1,10,255,0,6,10,0,0,1,1,29,0,5
Tracking Talisman,32,9,5,0,0,0,0,1,5,0,0,255,0,11,8,0,0,1,1,29,0,5
Trance Talisman,32,9,5,0,0,0,0,0,0,1,7,255,0,23,8,1,2,1,1,29,0,5
Perseus's Ring,15,9,15,0,0,0,0,0,0,2,18,255,0,10,10,2,0,0,0,0,0,50
Hippocrates's Ring,15,9,15,0,0,0,0,2,0,3,35,255,0,18,10,1,0,0,0,0,0,50
Alcuin's Ring,33,9,20,0,0,0,0,3,25,9,118,255,0,13,10,3,0,0,0,0,0,9000
Gauze Ring,33,9,15,0,0,0,0,0,0,7,93,255,0,6,10,3,3,0,1,0,0,5
Aldhelm's Harp,14,9,25,0,0,1,12,0,0,6,77,6,10,255,0,0,0,1,0,0,0,3500
The Dagda's Harp,14,9,20,0,0,9,11,5,100,5,53,4,9,255,0,0,1,1,0,0,0,3750
Merlin's Ease,40,9,15,0,0,1,8,0,0,4,40,255,0,24,10,0,0,0,0,0,0,100
Merlin's Support,32,9,15,0,0,9,7,0,0,1,9,12,8,255,0,0,0,1,1,0,0,75
Merlin's Will,34,9,15,0,0,2,12,4,75,0,0,9,8,255,0,0,0,0,1,0,0,75
Holy  Relic,34,9,5,0,0,7,15,1,5,8,52,20,10,255,0,0,0,0,0,0,0,75
Drakesbane,34,9,5,0,0,9,8,0,0,2,7,14,8,255,0,3,2,0,0,0,0,75
Succubus Pipes,40,9,5,8,0,0,0,2,15,0,0,2,8,255,0,0,0,1,0,0,0,75
Gaelic Garlic,55,9,4,0,0,7,7,1,5,1,4,5,5,255,0,2,1,0,1,0,0,100
Reversing Amulet,23,9,15,0,0,1,15,0,0,2,11,0,6,255,0,1,1,0,0,0,0,75
Halo Scroll,37,11,5,0,0,0,0,0,0,0,0,12,5,255,0,0,0,1,1,31,100,5
Scroll of Protection,37,11,5,0,0,0,0,0,0,0,0,14,5,255,0,0,0,1,1,31,250,5
Refresh Scroll,37,11,5,0,0,0,0,0,0,0,0,16,5,255,0,0,0,1,1,31,250,5
Scroll of the Sun,37,11,5,0,0,0,0,0,0,0,0,6,7,255,0,0,0,1,0,31,350,5
Lantern,36,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,50,5
Basalt Scroll,37,11,5,0,0,0,0,0,0,0,0,9,6,255,0,0,0,1,1,31,250,5
Rune Chart,41,11,5,0,0,0,0,0,0,0,0,255,0,20,6,0,0,1,1,35,750,55
Hawk's Eye,61,11,5,0,0,0,0,0,0,0,0,255,0,11,6,0,0,1,1,144,300,35
Crystal Ball,61,11,5,0,0,0,0,0,0,0,0,23,6,255,0,0,0,1,1,144,300,25
Shaman Scroll,37,11,5,0,0,0,0,0,0,0,0,1,7,255,0,0,0,1,0,31,4500,350
Volley Scroll,37,11,5,0,0,0,0,0,0,0,0,4,9,255,0,0,0,1,0,31,0,1000
Methuselah's Scroll,37,11,5,0,0,0,0,0,0,0,0,22,11,255,0,0,0,1,1,31,0,400
Aura Scroll,37,11,5,0,0,0,0,0,0,0,0,12,10,255,0,0,0,1,1,31,0,50
Boomerang Scroll,37,11,5,0,0,0,0,0,0,0,0,0,8,255,0,0,0,1,1,31,0,500
Pummel Scroll,37,11,8,0,0,0,0,0,0,0,0,1,9,255,0,0,0,1,0,31,0,1000
Lady's Scroll,37,11,8,0,0,0,0,0,0,0,0,2,12,255,0,0,0,1,0,31,0,1000
Sovereign Scroll,37,11,5,0,0,0,0,0,0,0,0,2,10,255,0,0,0,1,0,31,18000,2500
Deadly Scroll,37,11,8,0,0,0,0,0,0,0,0,4,11,255,0,0,0,1,0,31,0,1000
Defending  Scroll,37,11,5,0,0,0,0,0,0,0,0,14,8,255,0,0,0,1,1,31,0,50
Oxymoron Scroll,37,11,5,0,0,0,0,0,0,0,0,6,9,255,0,0,0,1,1,31,0,200
Viking's Scroll,37,11,5,0,0,0,0,0,0,0,0,7,8,255,0,0,0,1,1,31,1000,200
Hippocratic Scroll,37,11,5,0,0,0,0,0,0,0,0,20,9,255,0,0,0,1,0,31,0,500
Emanating Scroll,37,11,5,0,0,0,0,0,0,0,0,16,11,255,0,0,0,1,1,31,0,150
Left Arm Scroll,37,11,5,0,0,0,0,0,0,0,0,15,7,255,0,0,0,1,1,31,0,50
Thor's Scroll,37,11,5,0,0,0,0,0,0,0,0,11,8,255,0,0,0,1,1,31,0,75
Begonia Balm,66,11,10,0,0,0,0,0,0,0,0,255,0,24,5,0,0,1,1,38,50,5
Petunia Poultice,66,11,12,0,0,0,0,0,0,0,0,255,0,24,9,0,0,1,1,38,550,65
Lavender Lotion,66,11,10,0,0,0,0,0,0,0,0,255,0,24,11,0,0,1,1,38,20000,250
Dragon Flagon,59,11,15,0,0,0,0,0,0,0,0,20,12,255,0,0,0,1,0,36,0,500
Teleport Pass,41,11,5,0,0,0,0,0,0,0,0,17,12,255,0,0,0,1,1,34,250,45
Small Letter of Credit,48,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,1000,1000
Large Letter of Credit,48,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,10000,10000
Great Letter of Credit,48,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,50000,50000
Skeleton Keyring,30,11,2,0,0,0,0,0,0,0,0,255,0,14,10,0,0,1,1,36,2000,300
Wooden Lockpick,56,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,36,300,50
Brass Lockpick,56,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,36,2000,300
Iron Lockpick,57,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,36,20000,3000
Mugwort Mead,65,11,8,0,0,0,0,0,0,0,0,19,1,255,0,0,0,1,1,37,35,5
Willowbark Wine,65,11,10,0,0,0,0,0,0,0,0,19,7,255,0,0,0,1,1,37,500,45
Juniper Juice,65,11,15,0,0,0,0,0,0,0,0,19,12,255,0,0,0,1,1,37,0,150
Bless Potion,68,11,8,0,0,0,0,0,0,0,0,18,10,255,0,0,0,1,1,0,0,5
Brief Candle,64,9,2,0,0,0,0,0,0,0,0,22,10,255,0,0,0,1,1,30,15000,200
Streoneshalh's Aid,23,9,0,0,0,10,7,0,0,5,55,255,0,255,0,3,1,0,0,0,0,5000
Beorhtric's Bane,68,11,20,0,1,0,0,4,50,0,0,10,12,255,0,0,0,0,0,0,0,0
Blueberry Brew,39,11,10,0,0,0,0,0,0,0,0,20,3,255,0,0,0,1,1,32,75,5
Elderberry Elixir,39,11,8,0,0,0,0,0,0,0,0,20,7,255,0,0,0,1,1,32,1000,45
Woad Wine,39,11,5,0,0,0,0,0,0,0,0,20,11,255,0,0,0,1,1,32,10000,150
Palace Chalice,59,11,10,0,0,0,0,0,0,0,0,255,0,24,12,0,0,1,0,32,0,250
Doormat,58,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
UnusedKey,30,12,3,0,0,0,0,0,0,0,0,255,0,14,8,0,0,1,0,0,0,500
Cursed Scroll,37,11,5,0,0,0,0,0,0,0,0,3,5,255,0,0,0,1,1,31,100,5
Horseshoe,80,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Grappling Hook,81,12,255,0,0,0,0,0,0,0,0,255,0,13,12,0,0,0,0,0,0,0
Sharp Grappling Hook,83,12,255,0,0,0,0,0,0,0,0,255,0,13,12,0,0,0,0,0,0,0
A Shrubbery,82,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Rasp File,84,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Hand Saw,85,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Ohthere's Dagger,62,1,0,0,0,0,0,4,70,1,12,255,0,255,0,0,0,0,0,0,0,1000
Mannanan's Ring,15,12,3,0,0,0,0,2,24,2,19,255,0,13,12,4,4,1,0,0,0,2000
Silver Lockpick,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,0
Steel Lockpick,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,0
Cold Steel Lockpick,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,0
Adamantine Lockpick,56,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,0
Hole Punch,86,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Carding Brush,87,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Rope,38,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Unused12 Life Jacket,25,8,0,0,0,0,0,0,0,2,18,255,0,255,0,1,1,0,0,0,0,0
The Prunes of Cawdor,51,12,2,0,0,10,1,0,0,0,0,255,0,11,1,0,0,1,1,0,0,4
Tongs,88,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Mallet,89,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Unused16 Ebony,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Unused17 Opal,58,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Leaden Dagger,62,12,1,0,0,10,15,0,0,0,0,1,1,255,0,0,0,1,0,0,0,0
Blue Banner,63,12,1,0,0,10,15,0,0,0,0,4,1,255,0,0,0,1,0,0,0,0
Orange Banner,63,12,1,0,0,10,15,0,0,0,0,1,1,255,0,0,0,1,0,0,0,0
Cup of Drowning,59,12,1,0,0,10,15,0,0,0,0,1,1,255,0,0,0,1,0,0,0,0
Crown of Crimson,67,12,1,0,0,10,15,0,0,0,0,1,1,255,0,0,0,1,0,0,0,0
Healing Locket,34,12,255,0,0,10,15,0,0,0,0,20,1,255,0,0,0,1,0,0,0,0
Hurly Burly,67,12,1,0,0,10,15,0,0,0,0,1,1,255,0,0,0,1,1,0,0,5000
Milk of Human Kindness,68,12,5,0,0,10,15,0,0,0,0,20,2,255,0,0,0,1,1,0,0,5000
Fillet of a Fenny Snake,69,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Eye of Newt,70,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Toe of Frog,72,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Wool of Bat,42,12,1,0,0,3,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Tongue of Dog,74,11,1,0,0,3,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Adder Fork,76,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Blindworm Sting,77,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Lizard Leg,78,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Howlet Wing,69,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Scale of Dragon,79,12,1,0,0,9,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Tooth of Wolf,73,12,1,0,0,3,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Witches Mummy,46,12,1,0,0,10,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Gall of Goat,51,12,1,0,0,3,15,0,0,0,0,1,2,255,0,0,0,1,1,0,0,5000
Witches Thumb,77,12,1,0,0,10,15,0,0,0,0,1,2,255,0,0,1,1,1,0,0,5000
Crack of Doom,47,2,3,0,0,10,15,0,0,0,0,4,2,255,0,0,0,1,0,0,0,0
Unity Ring,33,12,0,0,0,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0
Not to be Assigned,0,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
