Map,Idx,NameSingle,NamePlural,Typ,Lvl,LvlRnd,Count,Adds,Flee%,Cast%,Drop%,XP,Gold
0,34,Bothersome Bat,Bothersome Bats,16,1,0,1,0,4,0,5,11,0
0,35,Bothersome Bat,Bothersome Bats,16,1,0,3,0,4,0,5,14,9
0,36,Bewildered Bat,Bewildered Bats,16,1,0,1,0,4,0,5,11,0
0,37,Bewildered Bat,Bewildered Bats,16,1,0,1,0,4,0,5,11,0
0,38,Bewildered Bat,Bewildered Bats,16,1,0,1,0,4,0,5,11,0
0,39,Bewildered Bat,Bewildered Bats,16,1,0,3,0,4,0,5,14,9
1,0,Flimsy Fruit Bat,Flimsy Fruit Bats,16,1,0,1,0,4,0,0,8,10
1,1,Flimsy Fruit Bat,Flimsy Fruit Bats,16,1,0,1,1,4,0,0,8,10
1,2,Flimsy Fruit Bat,Flimsy Fruit Bats,16,1,0,2,0,6,0,0,8,10
1,3,Flimsy Fruit Bat,Flimsy Fruit Bats,16,1,0,1,0,6,0,0,6,10
1,4,Flimsy Fruit Bat,Flimsy Fruit Bats,16,1,0,1,1,6,0,0,6,10
1,5,Dainty McDinky Duenna,Dainty McDinky Duennas,29,1,0,1,0,6,0,0,15,30
1,6,Fruit Bat,Fruit Bats,16,1,1,1,1,6,0,0,10,15
1,7,Meek Monandliath Mage,Meek Monandliath Magi,43,1,0,1,0,6,25,0,25,30
1,8,Meek McUgly Mage,Meek McUgly Magi,45,1,0,1,1,6,25,0,25,30
1,9,Dainty McDoughty Dastard,Dainty McDoughty Dastards,28,1,0,1,0,4,0,0,20,20
1,10,Meek Monandliath Mage,Meek Monandliath Magi,43,1,0,1,1,6,35,30,20,40
1,11,Mild Monandliath Mage,Mild Monandliath Magi,43,1,1,1,0,5,35,25,20,30
1,12,Cat of Immense Girth,Cats of Immense Girth,1,1,0,1,1,8,0,0,20,20
1,13,Cat of Immense Girth,Cats of Immense Girth,1,1,1,1,0,8,0,0,20,15
1,14,Dainty McDoughty Dastard,Dainty McDoughty Dastards,28,1,0,1,1,10,0,25,25,40
1,15,Cat of Immense Girth,Cats of Immense Girth,1,1,1,1,0,10,0,25,15,15
1,16,Dainty McDoughty Dastard,Dainty McDoughty Dastards,28,1,0,1,0,10,0,20,40,45
1,17,Bilious Bucolic Basher,Bilious Bucolic Bashers,24,1,0,1,1,10,0,20,35,45
1,18,Cat of Immense Girth,Cats of Immense Girth,1,1,0,1,0,12,0,25,20,10
1,19,Meek Monandliath Mage,Meek Monandliath Magi,43,1,0,1,1,18,20,25,33,35
1,20,Cat of Immense Girth,Cats of Immense Girth,1,1,0,1,0,10,0,25,15,20
1,21,Meek Monandliath Mage,Meek Monandliath Magi,43,1,0,1,0,8,20,25,29,45
1,22,Cat of Immense Girth,Cats of Immense Girth,1,2,0,1,1,15,0,25,20,20
1,23,Mild Monandliath Mage,Mild Monandliath Magi,43,1,1,1,1,15,20,25,42,45
1,24,Mild McUgly Mage,Mild McUgly Magi,45,2,0,1,1,4,25,0,10,20
1,25,Dainty McDoughty Dastard,Dainty McDoughty Dastards,28,1,1,1,1,4,0,0,10,30
1,26,Mild McUgly Mage,Mild McUgly Magi,45,1,1,1,1,5,20,40,20,40
1,27,Delicate McDoughty Dastard,Delicate McDoughty Dastards,28,2,1,1,1,8,0,40,30,45
1,28,Delicate McDoughty Dastard,Delicate McDoughty Dastards,28,2,1,2,1,4,0,40,31,45
1,29,Dull McDoughty Dastard,Dull McDoughty Dastards,28,3,0,1,1,6,5,35,29,90
1,30,Bilious Bucolic Basher,Bilious Bucolic Bashers,24,2,0,1,1,20,0,0,27,60
1,31,Bilious Bucolic Basher,Bilious Bucolic Bashers,24,2,1,2,1,15,0,0,32,60
1,32,Mild McUgly Murderer,Mild McUgly Murderers,25,2,1,1,1,15,0,40,33,60
1,33,Puny Pennines Pickpocket,Puny Pennines Pickpockets,34,3,0,2,1,15,0,40,22,30
1,34,Delicate McDoughty Dipper,Delicate McDoughty Dippers,35,2,0,2,1,15,0,40,26,60
1,35,Mild McUgly Moocher,Mild McUgly Moochers,36,2,0,3,0,18,0,35,37,75
1,36,Daring McDinky Dipper,Daring McDinky Dippers,37,2,1,2,0,16,0,35,42,115
1,37,McUgly Mage,McUgly Magi,45,3,0,2,1,16,30,35,27,40
1,38,Daring McDinky Deunna,Daring McDinky Duennas,29,2,0,2,1,16,0,35,29,50
1,39,Dangerous McDinky Duenna,Dangerous McDinky Duennas,29,3,0,2,1,12,0,35,29,50
2,0,Bobbing Bit of Bones,Bobbing Bits of Bones,8,1,1,2,1,0,15,10,31,31
2,1,Rotting Roger,Rotting Rogers,10,1,0,3,1,0,0,5,31,33
2,2,Bernician Barbarian,Bernician Barbarians,22,2,1,2,1,11,18,10,37,42
2,3,Scottish Squire,Scottish Squires,26,2,1,2,1,10,15,10,59,37
2,4,Scottish Snarer,Scottish Snarers,30,3,1,3,1,15,10,15,69,41
2,5,McDoughty Moocher,McDoughty Moochers,35,2,1,3,0,10,17,20,36,36
2,6,Malevolent Mage,Malevolent Mages,43,2,1,3,1,10,95,15,58,37
2,7,Mystical McDinky Doctor,Mystical McDinky Doctors,41,3,1,3,1,10,75,12,42,38
2,8,Bobbing Bit of Bones,Bobbing Bits of Bones,8,1,1,3,1,0,35,15,42,41
2,9,Rotting Roger,Rotting Rogers,10,1,0,3,1,0,0,15,37,42
2,10,Bobbing Bit of Bones,Bobbing Bits of Bones,8,1,1,3,1,0,33,15,37,46
2,11,Rotting Roger,Rotting Rogers,10,1,0,3,1,0,0,50,31,57
2,12,Bobbing Bit of Bones,Bobbing Bits of Bones,8,2,1,2,1,0,15,20,33,31
2,13,Clanky old Construct,Clanky old Constructs,17,1,1,2,1,0,25,20,35,41
2,14,Sneaky Sylvan Snarer,Sneaky Sylvan Snarers,31,1,1,4,1,15,25,55,56,42
2,15,McDoughty Mage,McDoughty Magi,44,2,1,2,1,5,95,25,47,47
2,16,Bouncing Bit of Bones,Bouncing Bits of Bones,8,2,1,3,1,0,11,15,68,47
2,17,Small Spectral Spud,Small Spectral Spuds,9,1,1,1,1,11,25,15,51,53
2,18,Small Spectral Spud,Small Spectral Spuds,9,1,1,2,1,11,25,15,53,55
2,19,Wary Wessex Wizard,Wary Wessex Wizards,43,3,1,3,1,11,95,30,42,58
2,20,Small Spectral Spud,Small Spectral Spuds,9,1,1,3,1,11,25,25,59,62
2,21,Cute Cuddly Calf,Cute Cuddly Calves,3,2,1,4,1,10,0,0,29,29
2,22,Faithful McFurry Father,Faithful McFurry Fathers,41,2,0,3,1,11,95,25,41,39
2,23,Daring McDoughty Squire,Daring McDoughty Squires,28,3,1,4,1,10,25,20,43,29
2,24,Antagonistic Elf,Antagonistic Elves,24,3,0,3,1,10,35,25,42,41
2,25,Munching McUgly Moocher,Munching McUgly Moochers,36,3,1,3,1,11,15,10,43,43
2,26,Mocking McUgly Barbarian,Mocking McUgly Barbarians,25,2,1,4,1,12,15,15,37,55
2,27,Mocking McMinimal Mage,Mocking McMinimal Magi,46,1,1,2,1,12,95,20,59,36
2,28,Merry McDinky Moocher,Merry McDinky Moochers,37,3,1,4,1,9,45,24,73,48
2,29,Caber Clutcher,Caber Clutchers,27,2,0,2,1,9,10,30,77,39
2,30,Sinister Sylvan Snarer,Sinister Sylvan Snarers,31,3,1,5,1,15,22,45,59,37
2,31,Scary Scottish Snarer,Scary Scottish Snarers,30,3,1,3,1,15,10,25,44,44
2,32,McDoughty Squire,McDoughty Squires,28,4,0,4,1,10,25,25,56,41
2,33,Sneaky Scottish Squire,Sneaky Scottish Squires,26,3,1,2,1,9,20,30,43,48
2,34,McDoughty Moocher,McDoughty Moochers,35,2,1,2,1,10,0,35,45,35
2,35,Mean McUgly Moocher,Mean McUgly Moochers,36,2,1,3,1,10,20,30,47,56
2,36,Masterful McDinky Moocher,Masterful McDinky Moochers,37,3,1,1,0,9,35,45,69,72
2,37,Cud Chomping Calf,Cud Chomping Calves,3,5,0,2,1,9,0,15,100,70
2,38,Northlands Nun,Northlands Nuns,40,3,0,3,1,9,75,15,77,34
2,39,Wary Wessex Wizard,Wary Wessex Wizards,43,4,0,2,1,10,95,20,77,76
3,0,Fruit Bat,Fruit Bats,16,2,1,3,1,0,0,0,19,8
3,1,Scottish Slime,Scottish Slimes,2,1,2,2,1,0,0,0,29,10
3,2,Scottish Slime,Scottish Slimes,2,1,2,2,1,0,0,0,19,10
3,3,Strathclyde Slime,Strathclyde Slimes,2,2,2,2,1,0,0,0,21,10
3,4,Scottish Slime,Scottish Slimes,2,1,3,2,1,0,0,0,21,10
3,5,McDoughty Squire,McDoughty Squires,28,3,1,1,1,5,0,10,37,20
3,6,Foul Fruit Bat,Foul Fruit Bats,16,2,1,3,1,0,0,0,20,10
3,7,Sylvan Barbarian,Sylvan Barbarians,24,1,1,1,1,5,33,20,33,30
3,8,McDoughty Squire,McDoughty Squires,28,1,1,2,1,5,15,20,36,30
3,9,McDoughty Squire,McDoughty Squires,28,1,1,1,1,5,22,25,38,30
3,10,Wessex Wizard,Wessex Wizard,43,2,1,1,1,15,95,25,42,20
3,11,McDinky Doctor,McDinky Doctors,41,2,1,1,1,7,80,20,47,25
3,12,McDoughty Squire,Angry McDoughty Squires,28,1,1,2,1,5,33,15,38,30
3,13,Wessex Wizard,Wessex Wizards,43,2,0,1,1,15,95,15,42,25
3,14,McFurry Father,McFurry Fathers,41,2,2,2,1,7,75,15,41,30
3,15,Sorcerous Apprentices,Sorcerous Apprentices,43,2,0,3,0,0,95,0,47,40
3,16,McMinimal Priest,McMinimal Priests,42,2,3,1,1,1,75,20,47,35
3,17,Sylvan Snarer,Sylvan Snarers,31,2,1,1,1,5,15,0,33,30
3,18,McFurry Father,McFurry Fathers,41,2,3,1,1,1,65,20,47,20
3,19,Sorcerous Apprentice,Sorcerous Apprentices,43,2,0,2,1,11,97,20,47,25
3,20,McMinimal Mage,McMinimal Magi,46,2,1,2,1,5,95,25,34,30
3,21,Wessex Warlock,Wessex Warlocks,43,2,2,1,1,15,95,15,44,25
3,22,Strathclyde Snitch,Strathclyde Snitches,34,2,2,1,1,1,0,25,55,20
3,23,McUgly Mage,McUgly Magi,45,3,0,1,1,15,95,15,53,30
3,24,Sylvan Barbarian,Sylvan Barbarians,24,3,0,2,1,1,35,30,58,45
3,25,Malevolent McMinimal Moocher,Malevolent McMinimal Moochers,38,3,1,2,1,0,0,30,47,50
3,26,Murderous McUgly Mage,Murderous McUgly Magi,45,3,1,2,1,1,95,15,59,20
3,27,Wildcat,Wildcats,1,3,1,2,1,10,0,0,72,45
3,28,Wildcat,Wildcats,1,3,1,2,1,10,0,0,83,55
3,29,Scottish Squire,Savage Scottish Squires,26,2,2,2,1,1,15,0,56,40
3,30,Miniature Minotaur,Miniature Minotaurs,3,2,1,2,1,1,0,0,59,20
3,31,Minotaur Calf,Minotaur Calves,3,4,1,2,1,1,0,0,47,15
3,32,Sneaky Sylvan Snarer,Sneaky Sylvan Snarers,31,2,2,3,1,5,25,25,41,30
3,33,Savage Scottish Squire,Savage Scottish Squires,26,2,2,2,1,1,10,25,42,30
3,34,Mean McMinimal Moocher,Mean McMinimal Moochers,38,3,1,2,1,11,22,30,47,40
3,35,Masterful McDoughty Moocher,Masterful McDoughty Moochers,35,4,0,2,1,10,11,0,32,20
3,36,McUgly Moocher,McUgly Moochers,36,3,1,2,1,10,0,0,36,30
3,37,McFurry Felon,McFurry Felons,37,3,1,2,1,1,22,25,69,50
3,38,Bernician Barbarian,Bernician Barbarians,22,3,1,2,0,0,0,0,94,50
3,39,Medusa,Medusae,6,3,1,1,1,0,0,30,100,250
4,0,Fruit Bat,Fruit Bats,16,1,2,3,1,9,0,0,14,5
4,1,Feckless Fruit Bat,Feckless Fruit Bats,16,2,1,3,1,10,0,0,14,5
4,2,Fierce Fruit Bat,Fierce Fruit Bats,16,1,1,3,1,12,0,0,14,5
4,3,Foul Fruit Bat,Foul Fruit Bats,16,1,1,3,1,15,0,0,14,5
4,4,Fiendish Fruit Bat,Fiendish Fruit Bats,16,2,1,3,1,9,0,0,14,5
4,5,Wee Broth of a Giant,Wee Broths of a Giant,18,1,0,1,1,15,0,80,69,30
4,6,Miniature Minotaur,Miniature Minotaurs,3,1,1,4,1,5,0,0,18,10
4,7,Miniature Minotaur,Miniature Minotaurs,3,2,1,3,1,1,0,0,29,15
4,8,Devout McDinky Doctor,Devout McDinky Doctors,41,1,1,2,1,1,80,20,47,25
4,9,Mighty McDinky Squire,Mighty McDinky Squires,29,3,0,2,1,5,15,10,38,40
4,10,Mystic McUgly Mage,Mystic McUgly Magi,45,2,0,2,1,5,95,10,39,30
4,11,Wary Wessex Wizard,Wary Wessex Wizards,43,2,0,1,0,15,95,15,43,40
4,12,Scottish Slime,Scottish Slimes,2,2,1,3,1,5,0,0,17,15
4,13,Presumptious Puss,Presumptious Pusses,1,2,0,1,1,10,0,0,23,15
4,14,Mirthful McDinky Squire,Mirthful McDinky Squires,29,3,0,2,1,5,15,10,38,30
4,15,Peckish Puddy Pie,Peckish Puddy Pies,1,2,0,2,1,5,0,10,29,20
4,16,Caber Clutcher,Caber Clutchers,27,1,1,3,1,5,20,10,37,30
4,17,Sylvan Barbarian,Sylvan Barbarians,24,2,1,1,0,5,0,5,33,30
4,18,McDoughty Moocher,McDoughty Moochers,35,2,1,3,1,7,25,20,32,15
4,19,Devout McDinky Doctor,Devout McDinky Doctors,41,2,1,3,1,1,15,15,38,45
4,20,Wild Wessex Wizard,Wild Wessex Wizards,43,2,1,2,1,15,75,25,35,20
4,21,Delicate McDoughty Mage,Delicate McDoughty Magi,44,2,1,3,1,15,75,15,69,35
4,22,Masterful McDinky Moocher,Masterful McDinky Moochers,37,2,1,3,1,1,15,15,38,20
4,23,Mighty McDoughty Moocher,Mighty McDoughty Moochers,35,2,1,3,1,7,25,20,55,25
4,24,Sinister Sylvan Barbarian,Sinister Sylvan Barbarians,24,3,0,2,1,0,45,15,59,40
4,25,Merry McDinky Squire,Merry McDinky Squire,29,3,1,1,1,0,15,15,61,40
4,26,Caber Snarer,Caber Snarers,32,3,1,1,1,0,15,15,63,40
4,27,Sinister Strathclyde Snitch,Sinister Strathclyde Snitches,34,3,1,1,1,0,20,15,65,40
4,28,Faithful McFurry Father,Faithful McFurry Fathers,41,2,1,1,1,0,65,15,67,40
4,29,Masterful McUgly Mage,Masterful McUgly Magi,45,2,1,1,1,0,75,15,69,40
4,30,Scottish Barbarian,Scottish Barbarians,23,3,1,2,1,5,5,5,38,30
4,31,Strathclyde Snitch,Strathclyde Snitches,34,2,1,4,1,5,25,9,35,20
4,32,Mighty McUgly Barbarian,Mighty McUgly Barbarians,25,2,1,1,1,1,25,12,42,45
4,33,Whitby Wizard,Whitby Wizards,43,3,1,2,1,0,85,0,100,200
4,34,Bernician Barbarian,Bernician Barbarian,22,2,1,2,1,0,0,5,77,70
4,35,Wessex Wizard,Wessex Wizards,43,2,1,2,1,0,85,15,83,70
4,36,Oozing Slime,Oozing Slimes,2,2,1,2,1,0,0,0,29,20
4,37,Itty McKitty,Itty McKitty,1,3,1,4,1,10,0,0,31,10
4,38,Itty Bitty McKitty,Itty Bitty McKitties,1,4,1,3,1,5,0,0,36,10
4,39,Mighty McDoughty Man at Arms,Might McDoughty Men at Arms,28,3,1,2,1,0,25,0,90,76
5,0,Fruit Bat,Fruit Bats,16,2,0,3,1,9,0,0,19,8
5,1,Fetid Fruit Bat,Fetid Fruit Bats,16,2,1,3,1,10,0,0,19,8
5,2,Fell Fruit Bat,Fell Fruit Bats,16,3,0,3,1,12,0,0,21,8
5,3,Fierce Fruit Bat,Fierce Fruit Bats,16,3,1,3,1,15,0,0,23,8
5,4,Ferocious Fruit Bat,Ferocious Fruit Bats,16,4,0,2,1,9,0,0,25,8
5,5,McFurry Fighter,McFurry Fighters,29,2,1,1,1,11,27,27,47,25
5,6,Fiendish Fruit Bat,Fiendish Fruit Bats,16,4,1,2,1,5,0,0,26,15
5,7,Wessex Wizard,Wessex Wizards,43,2,1,1,1,15,95,25,58,25
5,8,McUgly Mage,McUgly Magi,45,2,1,1,1,1,95,30,58,25
5,9,McFurry Fighter,McFurry Fighters,29,2,1,1,1,5,21,0,55,40
5,10,Sorcerous Apprentice,Sorcerous Apprentices,43,2,0,1,1,15,75,30,47,55
5,11,Wessex Wizard,Wessex Wizards,43,2,1,1,0,15,95,25,65,55
5,12,Puny Pookie Cat,Puny Pookie Cats,1,2,1,1,0,10,0,0,29,15
5,13,Puny Pookie Cat,Puny Pookie Cats,1,2,1,1,1,10,0,0,29,20
5,14,Miniature Minotaur,Miniature Minotaurs,3,2,0,1,1,1,0,0,77,15
5,15,Puny Pookie Cat,Puny Pookie Cats,1,1,1,2,1,10,0,0,29,20
5,16,McFurry Fighter,McFurry Fighters,29,1,1,1,1,5,10,20,42,55
5,17,Sylvan Slayer,Sylvan Slayers,24,1,1,1,1,5,15,10,53,45
5,18,Puny Pookie Cat,Puny Pookie Cats,1,1,1,1,1,10,0,0,31,20
5,19,Wessex Wizard,Wessex Wizards,43,2,1,2,0,15,95,25,53,60
5,20,McDoughty Moocher,McDoughty Moochers,35,2,1,2,1,5,15,25,52,50
5,21,McUgly Moocher,McUgly Moochers,36,2,1,1,1,5,15,40,57,75
5,22,Miniature Minotaur,Miniature Minotaurs,3,1,2,1,1,1,0,0,69,80
5,23,Wessex Wizard,Wessez Wizard,43,2,0,2,0,15,95,25,60,40
5,24,Sylvan Slayer,Sylvan Slayers,24,3,0,1,1,0,33,40,53,55
5,25,McDoughty Marauder,McDoughty Marauders,28,3,1,2,1,5,0,0,56,20
5,26,McUgly Mage,McUgly Magi,45,3,1,2,1,1,95,30,53,40
5,27,McDoughty Moocher,McDoughty Moochers,35,3,0,1,1,5,15,0,64,40
5,28,McDinky Moocher,McDinky Moochers,37,3,1,3,0,5,10,30,47,30
5,29,McDoughty Marauder,McDoughty Marauders,28,4,0,1,1,5,20,20,55,30
5,30,McUgly Mage,MgUgli Magi,45,3,1,1,1,5,95,25,45,25
5,31,Scottish Snarer,Scottish Snarers,30,4,0,1,1,5,10,35,42,25
5,32,McMinimal Moocher,McMinimal Moochers,38,3,1,3,1,4,65,0,77,50
5,33,McFurry Felons,McFurry Felons,37,3,1,2,1,1,5,0,83,50
5,34,Sylvan Snarer,Sylvan Snarers,31,3,1,2,1,10,10,20,47,36
5,35,McDoughty Moocher,McDoughty Moochers,35,2,2,2,1,5,5,0,51,45
5,36,McUgly Master Moocher,McUgly Master Moochers,36,4,0,1,1,0,25,40,100,250
5,37,Peckish Puddie Pie,Peckish Puddie Pies,1,4,0,1,1,1,0,0,83,20
5,38,Predatory Puddie Pie,Predatory Puddie Pies,1,4,1,2,1,5,0,0,77,20
5,39,Minotaur Calf,Minotaur Calves,3,5,0,2,1,1,0,0,77,70
6,0,Wildcat,Wildcats,1,4,0,2,1,4,0,0,22,12
6,1,Smelly Scottish Slime,Smelly Scottish Slimes,2,3,0,1,1,6,0,5,25,10
6,2,Scottish Slime,Scottish Slimes,2,2,0,1,1,8,0,5,27,10
6,3,Scottish Slime,Scottish Slimes,2,2,0,2,1,6,0,5,31,10
6,4,Scottish Slime,Scottish Slimes,2,2,1,1,1,6,0,10,29,20
6,5,Scottish Squire,Scottish Squires,26,2,1,2,1,9,0,20,37,25
6,6,Bobbing Bit of Bones,Bobbing Bits of Bones,8,2,1,1,1,11,0,0,33,15
6,7,Bobbing Bit of Bones,Bobbing Bits of Bones,8,2,1,2,1,8,0,0,21,20
6,8,McUgly Mage,McUgly Mages,45,2,1,1,1,15,95,35,42,40
6,9,McDoughty Squire,McDoughty Squires,28,1,1,1,1,3,20,35,42,50
6,10,Wessex Wizard,Wessex Wizards,43,2,1,1,1,8,35,35,53,60
6,11,McFurry Father,McFurry Fathers,41,2,1,1,1,10,50,35,69,40
6,12,Silly Spectral Spud,Silly Spectral Spuds,9,2,0,2,1,20,0,0,47,18
6,13,Peckish Puddy Pie,Peckish Puddy Pies,1,3,0,1,1,20,0,0,47,14
6,14,McDinky Doctor,McDinky Doctors,41,1,1,2,1,20,45,20,58,40
6,15,Woeful Wildcat,Woeful Wildcats,1,2,1,1,1,20,0,0,34,15
6,16,McFurry Father,McFurry Fathers,41,2,1,2,1,24,50,25,45,45
6,17,Scottish Snarer,Scottish Snarers,30,2,1,1,1,24,0,14,67,60
6,18,Bouncing Bit of Bones,Bouncing Bits of Bones,8,4,0,3,1,12,0,0,31,20
6,19,Wessex Wizard,Wessex Wizards,43,2,1,2,1,15,95,25,38,40
6,20,Not Quite Dead,Not Quite Deads,10,1,1,1,1,18,0,22,73,50
6,21,Not Dead Yet,Not Dead Yets,10,2,1,2,1,12,0,85,59,55
6,22,Strathclyde Snitch,Strathclyde Snitches,34,1,1,2,1,12,0,15,47,40
6,23,MgUgly Mage,McUgly Mages,45,1,1,2,1,12,95,15,57,50
6,24,Sylvan Barbarian,Sylvan Barbarians,24,3,0,2,1,1,55,30,66,65
6,25,Strathclyde Snitch,Strathclyde Snitches,34,2,1,2,1,8,35,30,47,30
6,26,McUgly Mage,McUgly Mages,45,2,1,2,1,9,95,30,52,40
6,27,McDoughty Esquire,McDoughty Esquires,28,2,1,2,1,4,0,30,42,30
6,28,Strathclyde Skulker,Strathclyde Skulkers,34,3,1,3,1,20,33,20,60,30
6,29,Scottish Squire,Scottish Squires,26,2,1,2,1,18,25,25,69,75
6,30,McDinky Moocher,McDinky Moochers,37,3,1,2,1,18,0,10,42,30
6,31,Serious Spook,Serious Spooks,11,1,0,1,1,2,85,85,83,68
6,32,McUgly Barbarian,McUgly Barbarians,25,3,1,2,1,15,40,25,59,20
6,33,Child of the Night,Children of the Night,12,1,1,2,1,12,0,86,90,65
6,34,McDoughty Moocher,McDoughty Moochers,35,3,1,2,1,12,0,25,55,35
6,35,McUgly Moocher,McUgly Moochers,36,3,1,1,1,10,25,25,65,45
6,36,Eensy Ectoplasm Egg,Eensy Ectoplasmic Eggs,9,3,0,3,1,25,35,65,100,100
6,37,Bernician Barbarian ,Bernician Barbarians,22,3,1,3,1,25,0,20,57,25
6,38,Vicious McKitty,Vicious McKitties,1,3,1,1,1,25,0,0,34,20
6,39,Bashful Little Ghoul,Bashful Little Ghouls,10,4,0,1,1,20,0,90,77,210
7,0,Hungry Fruit Bat,Hungry Fruit Bats,16,3,0,2,1,4,0,0,18,10
7,1,Fruit Bat,Fruit Bats,16,2,0,1,1,4,0,0,16,10
7,2,Killer Fruit Bat,Killer Fruit Bats,16,4,0,1,1,6,0,0,18,10
7,3,Fruit Bat,Fruit Bats,16,2,0,1,1,6,0,0,16,10
7,4,Fruit Bat,Fruit Bats,16,2,0,1,1,6,0,0,16,10
7,5,McDinky Squire,McDinky Squires,29,1,1,1,1,15,0,22,29,30
7,6,Vicious Fruit Bat,Vicious Fruit Bats,16,4,0,1,1,6,0,0,24,15
7,7,Sorcerous Apprentice,Sorcerous Apprentices,43,1,1,1,1,15,95,25,55,30
7,8,McUgly Mage,McUgly Mages,45,1,1,1,1,15,95,25,69,30
7,9,McDoughty Squire,McDoughty Squires,28,1,0,2,1,11,0,0,31,20
7,10,Sorcerous Apprentice,Sorcerous Apprentices,43,1,0,1,1,6,95,30,32,40
7,11,Wessex Wizard,Wessex Wizards,43,1,1,1,0,5,95,25,33,30
7,12,Not Very Tame Cat,Not Very Tame Cats,1,2,0,1,1,8,0,0,34,20
7,13,Wildcat,Wildcats,1,4,0,1,0,8,0,0,69,25
7,14,McDoughty Squire,McDoughty Squires,28,1,0,1,1,10,0,25,36,40
7,15,Vicious McKitty,Vicious McKitties,1,3,0,1,1,10,0,25,47,35
7,16,McDoughty Squire,McDoughty Squires,28,1,1,1,1,10,0,20,73,45
7,17,Sylvan Barbarian,Sylvan Barbarians,24,1,1,1,1,10,0,20,77,45
7,18,Puddy Pie,Puddy Pies,1,1,0,3,1,12,0,25,29,10
7,19,Wessex Wizard,Wessex Wizards,43,1,1,1,1,18,95,25,53,35
7,20,Not Very Tame Cat,Not Very Tame Cats,1,2,0,3,1,10,0,25,29,20
7,21,Wessex Wizard,Wessex Wizards,43,2,1,2,1,8,95,40,83,45
7,22,Wildcat,Wildcats,1,4,0,1,1,15,0,25,32,20
7,23,Creepy Conjurer,Creepy Conjurers,43,1,1,2,1,18,100,25,83,55
7,24,Sylvan Slasher,Sylvan Slashers,24,3,0,2,1,11,45,35,77,47
7,25,McDoughty Squire,McDoughty Squires,28,2,1,1,1,11,0,0,19,30
7,26,Short Spellcaster,Short Spellcasters,45,3,1,2,1,11,95,40,63,50
7,27,McDoughty Squire,McDoughty Squires,28,2,1,2,1,11,0,40,45,45
7,28,McDoughty Squire,McDoughty Squires,28,3,0,3,1,11,0,40,50,45
7,29,McDoughty Squire,McDoughty Squires,28,2,1,2,1,11,40,35,77,90
7,30,McUgly Mage,McUgly Magi,45,2,1,2,1,20,95,0,47,60
7,31,Angry Elfighter,Angry Elfighters,24,2,1,2,1,15,0,0,47,60
7,32,McUgly Barbarian,McUgly Barbarians,25,2,1,2,1,15,0,40,60,60
7,33,Strathclyde Snitch,Strathclyde Snitches,34,2,1,2,1,15,0,40,29,20
