Desc.,Exp,AbiPts,Dex_Base,Dex_Rnd,MP_Base,MP_Rnd,HP_Base,HP_Rnd,SkPts,Skill,SpPts,Spell0,Spell1
Clr 04,400,2,1,1,21,8,13,5,1,255,4,22,255
Clr 05,750,1,1,2,21,8,15,5,1,255,4,14,255
Clr 06,1000,1,1,2,30,15,17,7,1,16,5,255,255
Clr 07,2000,1,1,2,30,15,20,7,2,255,6,255,255
Clr 08,4000,1,1,2,35,23,23,9,2,255,12,255,255
Clr 09,7000,3,4,3,35,23,26,9,2,255,13,255,255
Clr 10,10000,2,5,3,45,40,30,9,1,19,14,255,255
Clr 11,20000,1,5,3,45,40,37,11,1,255,15,255,255
Clr 12,35000,1,5,3,52,52,47,11,2,255,16,9,255
Clr 13,60000,1,6,1,52,52,62,11,2,255,15,255,255
Clr 14,100000,3,10,3,52,52,78,11,2,255,15,255,255
Clr 15,150000,2,2,0,70,60,100,11,3,255,15,255,255
Clr 16,150000,2,12,4,70,60,125,20,4,255,15,255,255
Clr 17,200000,2,10,0,80,70,150,20,6,255,15,255,255
Clr 18,200000,2,12,4,80,70,175,30,7,255,14,255,255
Clr 19,250000,2,16,6,100,60,200,30,8,255,10,255,255
Clr 20,250000,2,16,6,100,60,220,40,9,255,10,255,255
Clr 21,500000,2,17,6,100,80,250,40,11,255,6,255,255
Clr 22,500000,1,18,6,100,100,275,50,11,255,5,255,255
Clr 23,750000,0,19,10,100,100,300,100,10,255,6,255,255
Clr 24,800000,0,20,10,100,100,400,100,10,255,5,255,255
Clr 25+,895000,0,20,10,60,50,500,100,0,255,0,255,255
Wiz 00,5,1,0,0,4,2,4,3,0,20,1,8,255
Wiz 01,75,1,1,0,4,2,5,4,1,255,2,255,255
Wiz 02,300,1,1,1,8,4,7,6,1,255,2,255,255
Wiz 03,600,1,1,1,12,6,9,6,1,255,3,255,255
Wiz 04,1000,1,1,1,21,8,11,6,1,21,3,17,255
Wiz 05,2000,1,2,0,21,8,13,6,1,255,3,255,255
Wiz 06,4000,1,2,1,30,15,15,8,1,255,3,0,255
Wiz 07,7500,1,2,1,30,15,18,20,2,255,5,255,255
Wiz 08,10000,1,2,1,35,23,21,10,2,255,5,255,255
Wiz 09,15000,1,2,2,35,23,25,10,2,22,5,255,255
Wiz 10,30000,1,2,2,45,40,30,10,2,255,6,255,255
Wiz 11,45000,1,2,2,45,40,35,16,2,255,7,255,255
Wiz 12,80000,2,2,2,52,52,40,16,2,255,10,255,255
Wiz 13,100000,2,8,10,52,52,45,16,2,23,12,255,255
Wiz 14,125000,2,2,1,52,52,50,16,3,255,15,4,255
Wiz 15,150000,2,5,4,70,60,60,16,3,255,15,255,255
Wiz 16,200000,2,3,2,70,60,75,20,4,255,19,255,255
Wiz 17,225000,2,7,6,80,70,100,20,4,255,18,255,255
Wiz 18,250000,2,7,6,80,70,120,30,5,255,18,255,255
Wiz 19,350000,1,7,6,100,60,130,30,9,255,17,255,255
Wiz 20,500000,1,15,10,100,60,180,50,10,255,17,255,255
Wiz 21,700000,0,15,10,100,80,200,50,12,255,16,2,255
Wiz 22,750000,0,15,15,100,100,250,55,10,255,15,255,255
Wiz 23,825000,0,12,10,110,100,300,55,15,255,13,255,255
Wiz 24,850000,0,10,10,120,100,400,80,15,255,12,255,255
Wiz 25+,900000,0,12,12,70,55,450,100,0,255,0,255,255
