Name,Icon,Type,Charges,Guilds,Flags,MonGrp,MonEffect,StrMod,DexMod,DefMod,DmgRed,Spell,SpellLvl,Skill,SkillLvl,AgiMod,IniMod,CanRemove,CanTrade,InfoMsg,BuyAt,SellAt
Stone Club,3,1,5,0,128,4,9,2,8,0,0,9,3,1,255,0,0,0,1,23,0,75
Morningstar,7,1,0,28,0,0,0,2,17,0,0,255,0,1,255,0,0,0,1,23,2500,200
Heart Flail,74,1,5,140,128,0,0,2,15,0,0,20,6,1,255,0,0,0,0,23,0,1750
Nunchukas,4,1,0,224,0,0,0,3,20,0,0,255,0,16,255,0,0,0,1,23,3200,150
Ninja Sticks,4,1,0,224,0,2,9,3,24,1,6,255,0,16,255,0,2,0,1,23,0,170
Peace Maker,5,1,8,149,0,0,0,3,30,0,0,0,10,1,255,0,0,0,0,23,0,400
Flail,71,1,0,4,0,0,0,2,40,0,0,255,0,1,255,0,0,0,1,23,0,350
Hollowed Nunchukas,73,1,8,224,0,0,0,2,50,1,5,4,8,16,255,0,1,0,0,23,0,400
Soldier's Flail,71,1,2,52,0,0,0,2,55,255,0,19,10,1,255,0,0,0,1,23,0,100
War Hammer,5,1,0,116,0,0,0,2,60,0,0,255,0,1,255,0,255,0,1,23,15000,400
Hammer of Might,5,1,0,52,0,6,5,2,80,1,0,255,0,1,255,0,1,0,0,23,0,1200
Wrath of Faith,7,1,8,245,0,5,12,4,90,0,0,6,6,1,255,0,0,1,0,23,0,1200
Stone Giants Hammer,5,1,5,156,128,12,15,4,195,254,0,1,10,1,255,0,0,0,0,23,0,5000
Gauntlets of Mercy,52,6,10,128,64,0,0,3,30,1,5,20,3,16,255,1,0,0,0,26,0,750
Gloves of Protection,52,6,10,44,32,0,0,1,20,2,10,14,8,16,255,2,2,0,0,26,0,750
Quarterstaff,8,2,0,0,0,0,0,1,7,0,0,255,0,21,255,0,0,0,1,24,55,10
Spear,9,2,0,0,0,0,0,2,8,0,0,255,0,21,255,0,0,0,1,24,110,25
Mandrake Staff,8,2,8,144,0,0,0,2,18,0,0,10,5,21,255,0,0,1,1,24,0,800
Halberd,10,2,0,60,0,0,0,2,16,1,5,255,0,21,255,0,0,0,1,24,5500,200
King's Lance,9,2,0,12,0,0,0,2,25,3,0,255,0,21,255,0,0,0,1,24,0,1150
Lightning Rod,67,2,5,68,0,0,0,1,25,0,0,8,9,21,255,0,2,1,0,24,0,500
Rod of Mercy,8,2,8,200,32,0,0,2,30,0,0,22,8,21,255,0,0,1,0,24,0,500
Staff of Giants,8,2,0,24,0,12,14,3,35,0,0,255,0,21,255,0,0,0,0,24,0,500
Lance of Darkness,9,2,5,72,0,11,10,1,35,0,0,0,6,21,255,0,0,0,0,24,0,500
Polearm,9,2,0,60,0,0,0,2,35,0,0,255,0,21,255,0,0,0,1,24,0,250
Bardiche,10,2,0,28,0,0,0,3,45,0,0,255,0,21,255,0,0,0,1,24,0,150
Staff of Justice,8,2,5,208,0,0,0,4,50,0,0,6,9,21,255,0,0,0,0,24,0,500
Divining Rod,8,2,8,160,0,0,0,2,60,0,0,5,7,21,255,0,0,0,0,24,0,3500
Lance,9,2,0,156,0,5,9,3,60,0,0,255,0,21,255,0,0,0,1,24,0,200
Arnakkian's Staff,8,2,8,242,0,1,10,3,65,253,0,2,4,21,255,0,0,1,0,24,0,500
Rod of the Serpent,8,2,5,84,32,5,10,2,65,0,0,10,2,21,255,0,0,0,0,20,0,200
Rod of Resonance,67,2,5,192,0,0,0,4,65,0,0,1,11,21,255,0,0,1,0,24,0,1250
Staff of the Magus,67,2,0,248,0,1,14,4,70,3,0,255,0,21,255,0,2,0,0,24,0,1250
Time's Scythe,70,2,5,168,64,12,10,3,110,0,0,9,10,21,255,0,2,0,0,24,0,0
Disruptor,70,2,5,148,0,0,0,0,40,0,0,4,10,21,255,1,0,1,0,24,0,3500
Voranti's Gauntlets,52,6,5,236,32,0,0,1,5,1,7,14,3,16,255,0,1,0,0,26,0,750
Short Bow,12,3,0,0,0,0,0,1,9,0,0,255,0,8,255,0,0,0,1,25,50,10
Longbow,12,3,0,20,0,0,0,2,12,0,0,255,0,8,255,0,0,0,1,25,250,50
Silver Bow,68,3,8,68,0,7,10,2,15,0,0,5,7,8,255,0,0,0,1,25,0,450
Crossbow,13,3,0,12,0,0,0,1,18,0,0,255,0,8,255,0,0,0,1,25,500,40
Composite Bow,12,3,0,28,0,3,9,2,30,0,0,255,0,8,255,0,1,0,1,25,0,150
Storm's Bow,12,3,8,208,0,5,12,2,30,0,0,11,5,8,255,0,0,0,0,25,0,700
Glass Bow,68,3,5,128,0,0,0,0,36,0,0,1,8,8,255,0,0,0,0,25,0,700
Bow of Flames,68,3,8,0,0,0,0,2,40,0,0,6,4,8,255,0,0,0,0,25,0,700
Crescent Moon,68,3,5,148,0,1,10,3,50,0,0,0,6,8,255,0,2,0,0,25,0,900
Longbow of Legend,12,3,0,212,0,0,0,3,60,0,0,255,0,8,255,0,0,0,0,25,0,1000
Twin Bolts,13,3,8,12,0,10,12,1,60,0,0,8,4,8,255,0,1,1,1,25,0,1500
Degree of Vengeance,43,3,0,200,0,9,13,3,100,0,0,255,0,8,255,0,1,0,0,25,0,1700
Arched Death,43,3,5,220,128,7,11,4,95,0,0,4,6,8,255,0,0,0,0,25,0,3500
Buckler,16,6,0,0,0,0,0,0,0,0,1,255,0,255,0,0,0,0,1,26,35,10
Round Shield,17,6,0,0,0,0,0,0,0,1,4,255,0,255,0,0,0,0,1,26,150,40
Blood Shield,17,6,10,128,0,3,1,0,0,2,6,20,4,255,0,1,0,0,1,26,0,350
Ice Shield,16,6,5,0,0,0,0,0,0,1,6,7,2,255,0,1,0,0,1,26,0,350
Oblong Shield,18,6,0,28,0,0,0,0,0,1,7,255,0,255,0,0,0,0,1,26,300,60
Winged Shield,18,6,0,0,32,10,7,0,0,2,7,255,0,255,0,3,0,0,0,26,0,500
Harm's Way,44,6,25,12,0,0,0,0,0,1,9,255,0,17,3,0,0,0,0,26,0,500
Silver Aegis,18,6,0,4,128,0,0,0,0,2,9,255,0,255,0,2,0,0,0,26,0,2500
Aegis d' Draco,44,6,5,68,32,9,7,0,0,3,11,6,5,255,0,0,1,1,0,26,0,1500
Skull Aegis,44,6,5,68,64,6,3,0,0,1,14,255,0,22,2,2,0,0,0,26,0,1250
Chaos' Guardian ,50,6,10,2,128,1,7,0,0,2,15,0,6,255,0,2,0,0,0,26,0,200
Harmony's Guardian ,50,6,10,1,128,1,7,0,0,2,15,14,6,255,0,2,0,0,0,26,0,200
Platinum Buckler,18,6,0,28,0,6,7,0,0,2,16,255,0,255,0,0,0,0,0,26,0,10000
Midnight Aegis,50,6,8,192,32,0,0,0,0,2,17,13,7,255,0,0,0,0,0,26,0,500
Knight's Shield,50,6,5,188,128,7,7,0,0,2,20,2,6,255,0,3,1,0,0,26,0,1500
Spiked Shield,11,6,5,92,0,0,0,0,0,3,15,4,10,255,0,2,0,1,0,26,0,3000
Aegis of Might,44,6,8,156,0,12,7,0,0,4,5,255,0,2,5,0,2,1,0,26,0,2500
Leather Cap,19,7,0,0,0,0,0,0,0,0,1,255,0,255,0,0,0,0,1,27,35,15
Head Chainmail,20,7,0,0,0,0,0,0,0,1,2,255,0,255,0,0,0,0,1,27,450,45
War-Hat,21,7,0,148,0,0,0,0,0,2,2,255,0,255,0,0,0,0,1,27,1500,125
Sovereign Crown,20,7,5,0,0,0,0,0,0,0,3,2,11,255,0,0,0,1,0,27,0,250
Meditation Cap,19,7,8,12,128,1,8,0,0,1,6,255,0,23,4,1,0,1,1,27,0,90
Scribe's Sallet,21,7,8,28,0,0,0,0,0,2,6,255,0,20,10,0,0,1,1,27,0,350
Helmet,22,7,0,52,0,0,0,0,0,2,8,255,0,255,0,0,0,0,1,27,3000,275
Iron Crown,20,7,0,64,96,0,0,0,0,2,8,255,0,255,0,0,0,0,1,27,0,25
Winged Sallet,21,7,8,192,0,0,0,0,0,1,8,255,0,3,8,0,0,0,0,27,0,400
Spidersilk Helm,72,7,5,0,32,0,0,0,0,2,8,255,0,6,3,0,0,0,1,27,0,400
Helm of Wisdom,19,7,8,148,0,12,8,0,0,2,9,23,9,255,0,2,0,0,0,27,0,800
Tracker's Mask,21,7,5,140,128,0,0,0,0,2,10,255,0,11,7,0,0,0,1,27,0,350
Basinet,22,7,0,28,0,0,0,0,0,3,10,255,0,255,0,0,0,0,1,27,0,200
Barbarian's Helm,22,7,5,124,0,1,8,0,0,2,11,1,6,255,0,1,0,0,0,27,0,3500
Night Elf Helm,72,7,8,4,32,11,7,0,0,3,12,10,4,255,0,2,0,0,0,27,0,2500
Dawn's Headpiece,72,7,0,188,32,0,0,0,0,4,15,255,0,255,0,0,0,0,0,27,0,2750
Valkyrie's Helm,21,7,8,16,128,0,0,0,0,2,16,255,0,13,10,1,0,1,0,27,0,1250
Helm of Guile,22,7,5,16,64,9,7,0,0,3,18,255,0,14,10,2,0,0,0,27,0,1500
Arnakkian's Cap,19,7,5,242,0,12,7,0,0,3,25,0,4,255,0,254,1,1,0,27,0,0
Jester's Cap,49,7,0,0,224,0,0,10,250,5,50,255,0,255,0,2,2,0,0,0,0,0
Cloth Jacket,24,8,0,0,0,0,0,0,0,0,1,255,0,255,0,0,0,0,1,28,15,5
Leather Jacket,25,8,0,0,0,0,0,0,0,1,1,255,0,255,0,0,0,0,1,28,125,40
Chainmail,26,8,0,16,0,0,0,0,0,1,3,255,0,255,0,0,0,0,1,28,1500,60
Sack Cloth Jacket,24,8,0,224,32,0,0,0,0,1,2,255,0,255,0,1,0,0,1,28,500,45
Breastplate,27,8,0,16,0,0,0,0,0,2,5,255,0,255,0,0,0,0,1,28,12000,350
Barbarian's Plate,27,8,0,124,0,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Knight's Breastplate,27,8,0,188,0,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Ranger's Chainmail,26,8,0,220,0,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Thief's Jacket,25,8,0,236,128,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Cleric's Chainmail,26,8,0,244,32,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Wizard's Sash,24,8,0,248,64,0,0,0,0,2,5,255,0,255,0,1,2,0,0,28,0,600
Snakeskin Jacket,25,8,0,200,32,0,0,0,0,2,5,255,0,255,0,0,0,0,1,28,0,500
Mail of the Magus,26,8,0,240,128,1,8,0,0,3,5,255,0,255,0,2,0,0,0,28,0,1500
Etheric Vestment,25,8,5,192,0,2,7,0,0,3,6,255,0,10,5,2,0,1,0,28,0,2500
Shadow Cloak,25,8,5,12,0,0,0,0,0,3,10,255,0,17,6,0,3,0,0,28,0,1200
Priestly Garb,24,8,10,244,64,7,7,0,0,4,10,255,0,23,4,3,0,0,0,28,0,1000
Wizard's Robes,24,8,10,248,0,1,8,0,0,3,20,255,0,18,6,3,1,0,0,28,0,2300
Plate of Iron,27,8,0,28,0,0,0,0,0,3,25,255,0,255,0,2,0,0,0,28,0,1750
Dragon's Skin,28,8,0,28,0,0,0,0,0,3,25,255,0,255,0,0,0,0,0,28,0,0
Granite Armor,28,8,0,28,128,10,7,0,0,4,30,255,0,255,0,0,0,0,0,28,0,1000
Jeweled Breastplate,27,8,0,152,128,11,7,0,0,3,50,255,0,255,0,0,0,0,0,28,0,1500
Thief's Cloak,25,8,5,236,64,0,0,0,0,5,75,255,0,2,6,0,0,0,0,28,0,1000
Tempered Adamantine,28,8,0,60,0,0,0,0,0,6,90,255,0,255,0,0,0,0,0,28,0,2500
Spiritual Armor,28,8,0,181,32,0,0,0,0,5,100,255,0,255,0,0,0,0,0,28,0,5000
Berserker Talisman,32,9,5,0,0,0,0,1,5,0,0,255,0,2,8,0,0,1,1,29,0,5
Binding Talisman,32,9,5,0,0,0,0,0,0,1,1,255,0,6,8,0,0,1,1,29,0,5
Read Tracks Talisman,32,9,5,0,0,0,0,1,2,0,0,255,0,11,8,0,0,1,1,29,0,5
Trance Talisman,32,9,5,0,0,0,0,0,0,0,0,255,0,23,8,1,2,1,1,29,0,5
Freedom Ring,33,9,5,0,128,0,0,0,0,1,0,255,0,10,10,2,0,1,0,0,0,50
Jaded Ring,15,9,5,0,64,0,0,2,0,0,0,255,0,18,10,1,0,1,0,0,0,50
Ring of Thieves,15,9,10,0,64,0,0,0,0,0,0,255,0,13,10,3,0,0,1,0,0,90
Iron Ring,33,9,5,0,128,0,0,0,0,0,0,255,0,6,10,0,3,1,1,0,0,5
Nero's Lyre,14,9,5,68,0,1,12,0,0,0,0,6,8,255,0,0,0,1,0,0,0,125
Thieves Flute,40,9,5,236,0,9,3,1,0,2,3,11,10,255,0,0,2,0,0,0,0,125
Stone of the Magi,35,9,5,0,32,1,8,0,0,0,0,255,0,24,10,0,0,1,0,0,0,100
Scorched Stone,35,9,5,0,0,9,7,0,0,0,0,12,8,255,0,0,0,1,1,0,0,75
Mirrored Gemstone,75,9,5,0,128,2,3,0,0,0,0,9,8,255,0,0,0,0,1,0,0,75
Priest's Amulet,34,9,5,0,64,7,2,0,0,0,0,20,10,255,0,0,0,1,0,0,0,75
Dragon's Stone,35,9,5,0,0,9,8,0,0,2,5,14,8,255,0,3,2,0,0,0,0,75
Pipes of Enchantment,40,9,5,132,0,0,0,0,0,1,0,2,8,255,0,0,0,1,0,0,0,75
Sisyphus' Stone,35,9,5,0,128,7,7,0,0,1,0,255,0,9,12,2,1,1,0,0,0,100
Amulet of Protection,23,9,5,0,128,1,4,0,0,2,3,255,0,255,0,1,1,1,0,0,0,75
Halo Scroll,37,11,5,0,0,0,0,0,0,0,0,12,5,255,0,0,0,1,1,31,100,5
Scroll of Protection,37,11,5,0,0,0,0,0,0,0,0,14,5,255,0,0,0,1,1,31,250,5
Refresh Scroll,37,11,5,0,0,0,0,0,0,0,0,16,5,255,0,0,0,1,1,31,250,5
Scroll of the Sun,37,11,5,0,0,0,0,0,0,0,0,6,7,255,0,0,0,1,0,31,350,5
Cursed Scroll,37,11,5,0,0,0,0,0,0,0,0,3,5,255,0,0,0,1,1,31,100,5
Basalt Scroll,37,11,5,0,0,0,0,0,0,0,0,9,6,255,0,0,0,1,1,31,250,5
Rune Chart,41,11,5,0,0,0,0,0,0,0,0,255,0,20,6,0,0,1,1,35,750,55
Hawk's Eye,61,11,5,0,0,0,0,0,0,0,0,255,0,11,6,0,0,1,1,144,300,35
Crystal Ball,61,11,5,0,0,0,0,0,0,0,0,23,6,255,0,0,0,1,1,144,300,25
Shaman Scroll,37,11,5,0,0,0,0,0,0,0,0,1,7,255,0,0,0,1,0,31,4500,350
Scroll of Death,37,11,5,0,0,0,0,0,0,0,0,4,9,255,0,0,0,1,0,31,0,1000
Life Giver,37,11,5,0,0,0,0,0,0,0,0,22,8,255,0,0,0,1,1,31,0,400
Aura Scroll,37,11,5,0,0,0,0,0,0,0,0,12,10,255,0,0,0,1,1,31,0,50
Boomerang Scroll,37,11,5,0,0,0,0,0,0,0,0,0,8,255,0,0,0,1,1,31,0,500
Pummel Scroll,37,11,8,0,0,0,0,0,0,0,0,1,9,255,0,0,0,1,0,31,0,1000
Zeus' Scroll,37,11,8,0,0,0,0,0,0,0,0,2,12,255,0,0,0,1,0,31,0,1000
Sovereign Scroll,37,11,5,0,0,0,0,0,0,0,0,2,10,255,0,0,0,1,0,31,18000,2500
Symbol of Death,37,11,8,0,0,0,0,0,0,0,0,4,11,255,0,0,0,1,0,31,0,1000
Scroll of Safety,37,11,5,0,0,0,0,0,0,0,0,14,8,255,0,0,0,1,1,31,0,50
Scorched Scroll,37,11,5,0,0,0,0,0,0,0,0,6,9,255,0,0,0,1,1,31,0,200
Crystal Scroll,37,11,5,0,0,0,0,0,0,0,0,7,8,255,0,0,0,1,1,31,1000,200
Blood Scroll,37,11,5,0,0,0,0,0,0,0,0,20,9,255,0,0,0,1,0,31,0,500
Refresh-All Scroll,37,11,5,0,0,0,0,0,0,0,0,16,11,255,0,0,0,1,1,31,0,150
Shielding Scroll,37,11,5,0,0,0,0,0,0,0,0,15,7,255,0,0,0,1,1,31,0,50
Scroll of Wind,37,11,5,0,0,0,0,0,0,0,0,11,8,255,0,0,0,1,1,31,0,75
Heal Potion,39,11,10,0,0,0,0,0,0,0,0,20,2,255,0,0,0,1,1,32,50,5
Elixir of Health,39,11,12,0,0,0,0,0,0,0,0,20,7,255,0,0,0,1,1,32,550,65
Heal-All Potion,39,11,10,0,0,0,0,0,0,0,0,20,11,255,0,0,0,1,0,32,20000,250
Heal Amphora,59,11,15,0,0,0,0,0,0,0,0,20,12,255,0,0,0,1,0,32,0,500
Teleport Pass,41,11,5,0,0,0,0,0,0,0,0,17,12,255,0,0,0,1,1,34,250,45
Silver Bar,77,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,1000,1000
Gold Bar,78,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,10000,10000
Platinum Bar,79,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,33,50000,50000
Sliver Bar,77,11,1,0,0,0,0,0,0,0,0,4,10,255,0,0,0,1,0,33,0,1000
Green Lockpick,51,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,36,300,50
Red Lockpick,51,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,75
Blue Lockpick,51,11,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,1,0,0,100
Cure Potion,65,11,8,0,0,0,0,0,0,0,0,19,1,255,0,0,0,1,1,37,35,5
Curative Elixir,65,11,10,0,0,0,0,0,0,0,0,19,7,255,0,0,0,1,1,37,500,45
Cure-All Potion,65,11,15,0,0,0,0,0,0,0,0,19,12,255,0,0,0,1,1,37,0,150
Bless Potion,66,11,8,0,0,0,0,0,0,0,0,18,10,255,0,0,0,1,1,0,0,5
Resuscitator,64,9,2,0,0,0,0,0,0,0,0,22,10,255,0,0,0,1,1,30,15000,200
Hope's Fury,23,9,0,0,0,10,7,0,0,3,10,255,0,255,0,3,1,0,0,0,0,0
Carissa's Gauntlets,52,6,5,72,0,12,11,4,40,3,15,9,10,16,255,0,0,0,0,0,0,0
Lava Glove,62,6,5,0,32,9,7,1,20,0,0,21,3,16,255,0,0,0,0,0,0,0
Ice Flame,1,1,0,0,0,10,12,5,100,253,0,255,0,5,255,0,1,0,0,0,0,0
Flask of Shadowfall,66,11,20,0,0,0,0,1,15,0,0,10,12,255,0,0,0,0,0,0,0,0
Mana Potion,66,11,10,0,0,0,0,0,0,0,0,255,0,24,5,0,0,1,1,38,75,5
Mana Elixir,66,11,8,0,0,0,0,0,0,0,0,255,0,24,9,0,0,1,1,38,1000,45
Mana Restore,66,11,5,0,0,0,0,0,0,0,0,255,0,24,11,0,0,1,0,38,10000,150
Mana Amphora,59,11,10,0,0,0,0,0,0,0,0,255,0,24,12,0,0,1,0,38,0,250
Stone of Awareness,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Skeleton Key,30,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Luminous Lantern,36,12,0,0,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0
Maze Key,45,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Slate Map,47,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Parchment Map,47,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Leather Map,47,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Snakeskin Map,47,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Snake Charm,29,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Fellowship Key,45,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Tnepres Key,30,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Diamond Lockpick,42,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Emerald Lockpick,42,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Sapphire Lockpick,42,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Ruby Lockpick,42,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Front Door Key,45,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Key of C,45,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Rope,38,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Life Jacket,25,8,0,0,32,0,0,0,0,2,25,255,0,255,0,1,1,0,0,0,0,0
Coral,54,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Topaz,56,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Pearl,55,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Ebony,57,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Opal,58,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Spirit Bottle,65,11,0,0,0,0,0,0,0,0,0,255,0,20,12,0,0,0,0,0,0,0
Priceless Bar,79,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Dralkarian Ring,69,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Queen's Key,31,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Whole Map,46,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Juicy Dragon Steak,48,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Funhouse Key,31,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Nimbus of the Fates,21,7,0,0,0,7,7,2,20,2,20,21,12,255,0,2,2,0,0,0,0,0
Reality's Rampart,44,6,0,0,192,12,7,0,0,4,35,1,12,255,0,3,1,0,0,0,0,0
Starburst,33,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Cross Key,45,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Brass Ring,33,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Sword of Ares,53,1,0,0,0,10,12,8,250,0,0,255,0,5,255,254,2,0,0,0,0,0
Gaea's Flail,74,1,0,0,0,10,12,8,250,0,0,255,0,1,255,254,2,0,0,0,0,0
Neptune's Trident,70,2,0,0,0,10,12,8,250,0,0,255,0,21,255,254,2,0,0,0,0,0
Bow of Eos,43,3,0,0,0,10,12,8,250,0,0,255,0,8,255,254,2,0,0,0,0,0
Eye of Circinus,63,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Easter Egg,55,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Statue of Storm Giant,63,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Naomi's Key,30,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Hacksaw Blade,1,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Hands of the Magi,52,6,0,248,0,0,0,2,2,1,4,19,5,255,0,0,1,0,0,0,0,750
Rod of Dissemination,8,2,0,0,0,0,0,2,45,2,12,255,0,21,255,1,1,0,0,0,0,0
Unity Ring,33,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
Not to be Assigned,0,12,0,0,0,0,0,0,0,0,0,255,0,255,0,0,0,0,0,0,0,0
