Typ,Lvl,x0,Ini,AtkCnt,Str,Def,Dex,HP,DmgRed,MAtkSav,FleeAt,x1,w0,w0hit,w0dmg,w0spa,w1,w1hit,w1dmg,w1spa,w2,w2hit,w2dmg,w2spa,sp0,sl0,sp1,sl1,sp2,sl2,sp3,sl3,sp4,sl4,sp5,sl5,sp6,sl6,sp7,sl7,sp8,sl8,sp9,sl9
2,1,8,4,1,14,4,8,50,2,1,0,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,2,8,4,1,16,5,18,70,3,1,0,5,1,1,0,0,2,2,255,0,2,0,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,3,8,4,1,18,7,20,90,4,1,0,4,1,2,1,0,2,1,0,0,2,0,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,4,8,5,1,20,11,50,100,20,2,0,3,1,4,0,0,2,2,0,0,2,0,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,5,8,5,1,21,12,75,125,25,3,0,3,1,4,1,0,2,2,0,0,2,0,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,6,8,6,1,22,14,125,150,30,4,0,3,1,4,2,0,2,2,0,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,7,8,6,1,24,16,175,400,45,6,0,2,1,6,1,0,2,2,0,0,2,255,20,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,8,8,6,1,36,17,200,600,60,8,0,0,1,6,1,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,9,8,6,1,40,18,225,750,75,9,0,0,1,6,1,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,10,8,7,2,44,18,250,750,75,10,0,0,1,6,1,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,11,8,8,2,48,18,275,750,220,11,0,0,1,6,1,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,12,8,9,2,52,18,300,750,250,12,0,0,1,6,1,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,13,8,10,2,60,18,350,2500,2500,13,0,0,1,6,45,0,2,2,6,0,2,255,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,14,8,15,2,70,18,400,20000,2100,15,0,0,1,6,70,0,2,2,6,0,2,255,30,0,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12
2,15,8,15,2,80,18,450,30000,3000,15,0,0,1,6,240,0,2,2,6,0,2,255,30,0,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12,9,12
3,1,3,3,1,12,8,9,18,2,1,0,9,3,2,0,0,3,255,2,1,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,2,3,4,1,14,10,16,32,2,1,0,9,3,2,0,0,3,0,1,1,3,0,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,3,3,5,1,19,12,24,45,4,2,3,7,3,2,1,0,15,255,254,1,3,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,4,3,5,1,24,14,36,60,6,3,3,7,3,3,3,0,15,255,254,0,3,0,7,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,5,3,6,1,30,16,60,100,9,4,3,5,3,3,3,0,15,255,255,0,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,6,3,6,1,36,18,90,150,12,5,3,5,3,4,3,0,15,255,254,0,17,0,10,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,7,3,7,1,45,20,120,200,18,6,0,2,3,5,3,0,16,255,12,2,3,0,12,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,8,3,7,1,60,21,160,300,24,6,0,2,3,6,4,0,16,255,18,0,3,0,15,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,9,3,7,2,60,22,175,450,32,7,0,2,3,6,4,0,16,255,18,2,3,0,15,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,10,3,9,2,60,24,190,600,45,8,0,2,3,6,4,0,16,255,18,2,3,0,15,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,11,3,10,2,60,25,210,900,66,9,0,0,3,6,4,0,16,255,18,2,3,0,15,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
3,12,3,11,2,60,25,320,1200,100,10,0,0,3,6,4,0,16,255,18,2,3,0,15,0,21,9,9,12,9,12,9,12,9,12,1,8,4,8,20,8,6,9,10,9
3,13,3,13,2,60,30,400,3500,230,11,0,0,3,6,4,0,16,255,18,2,3,0,15,0,21,10,9,12,9,12,9,12,9,12,1,8,4,8,20,8,6,9,10,9
3,14,3,15,2,80,35,2000,20000,1250,13,0,0,3,9,4,0,16,7,18,2,3,8,15,0,21,12,9,12,9,12,9,12,9,12,1,12,4,11,20,12,6,11,10,12
3,15,3,15,3,99,45,3200,32000,1500,14,0,0,3,11,4,0,16,9,18,2,3,10,15,0,21,12,9,12,9,12,9,12,9,12,1,12,4,12,20,12,6,12,10,12
4,1,4,3,1,12,8,10,25,1,1,6,7,2,0,1,0,6,0,254,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,2,4,4,1,15,10,15,30,2,1,6,7,2,1,2,0,6,0,255,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,3,4,5,1,20,12,20,60,4,1,5,5,2,2,2,0,3,0,4,0,19,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,4,4,5,1,25,14,30,75,6,1,5,5,2,2,3,0,3,0,5,0,19,1,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,5,4,6,1,36,16,40,200,8,1,4,4,2,3,2,0,3,1,8,0,20,254,20,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,6,4,6,1,44,18,54,300,9,1,4,4,2,3,3,0,3,1,10,0,20,254,25,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,7,4,7,1,65,20,80,500,12,1,3,4,42,4,6,0,3,1,12,0,20,254,30,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,8,4,7,1,75,22,110,750,15,1,3,4,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,9,4,7,2,75,23,150,1000,20,1,2,3,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,10,4,7,2,75,24,175,1500,50,1,2,3,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,11,4,7,2,75,25,210,2500,75,1,1,3,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,12,4,10,2,75,26,250,4000,125,1,1,2,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,13,4,11,2,75,27,350,6000,175,1,1,2,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,14,4,15,2,99,34,3100,32000,3200,1,0,2,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
4,15,4,15,2,99,45,3200,32000,3200,1,0,2,42,4,6,0,3,1,18,0,20,254,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
5,1,10,5,1,20,10,80,700,25,1,4,9,10,0,1,0,10,255,2,0,10,1,255,0,8,1,8,1,8,1,8,1,8,1,8,1,11,1,11,1,11,1,11,1
5,2,10,5,1,25,11,90,900,25,2,3,9,10,0,2,0,10,0,1,0,10,2,0,0,8,2,8,2,8,2,8,2,8,2,8,2,11,3,11,3,11,3,11,3
5,3,10,6,1,30,12,100,1000,25,2,3,9,10,0,3,0,10,1,0,0,10,3,1,0,8,4,8,4,8,4,8,4,8,4,8,4,11,4,11,4,11,4,11,4
5,4,10,6,1,35,14,160,1250,55,3,2,8,66,255,9,0,102,1,6,0,66,3,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
5,5,10,7,1,40,15,200,1500,55,3,2,8,66,255,11,2,102,1,7,0,66,4,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
5,6,10,8,1,50,16,250,1800,55,4,2,8,66,255,13,0,102,2,8,0,66,4,6,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
5,7,10,8,1,60,20,300,2100,150,4,2,7,42,255,12,0,42,2,8,0,42,5,3,0,20,6,9,8,1,3,1,3,1,3,7,9,8,5,8,5,11,4,0,4
5,8,10,9,2,70,21,325,2500,150,5,2,7,42,255,15,0,42,2,9,0,42,5,4,0,20,7,9,9,1,5,1,5,1,5,7,10,8,7,8,7,11,6,0,6
5,9,10,9,2,80,22,375,3000,175,5,1,6,42,255,20,0,42,3,10,0,42,6,5,0,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,10,10,10,2,80,22,400,3500,200,5,1,6,42,255,20,0,42,3,10,0,42,6,5,1,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,11,10,11,2,80,22,425,4000,225,5,0,5,42,255,20,0,42,3,10,0,42,6,5,0,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,12,10,12,2,80,22,450,4500,250,5,0,5,42,255,20,0,42,3,10,0,42,6,5,2,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,13,10,13,2,80,22,1500,5000,275,5,0,4,42,255,20,0,42,3,10,0,42,6,5,0,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,14,10,15,3,80,22,3200,32000,2500,14,0,0,42,255,20,0,42,3,10,0,42,6,5,4,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
5,15,10,15,3,80,35,3200,32000,3200,14,0,0,42,255,20,0,42,3,10,0,42,6,5,2,20,8,9,9,1,7,1,7,1,7,7,12,8,9,8,9,11,8,0,8
6,1,10,2,1,15,8,25,50,2,1,4,7,2,1,0,4,13,2,252,0,2,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,2,10,3,1,16,9,40,175,4,1,4,7,2,2,0,4,13,2,254,0,2,0,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,3,10,4,1,17,10,55,275,4,1,3,5,2,2,2,4,13,4,254,0,2,1,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,4,10,5,1,18,12,70,300,6,2,3,5,2,3,2,4,13,2,0,0,2,2,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,5,10,6,1,19,14,90,350,9,2,3,4,2,4,2,4,13,1,12,0,14,2,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,6,10,7,1,20,15,110,400,9,5,2,4,2,4,4,4,13,1,14,0,14,2,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,7,10,8,1,22,16,140,450,10,7,2,2,2,5,6,4,13,1,16,0,14,2,23,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,8,10,9,1,25,16,180,500,12,9,2,2,2,6,8,0,13,1,20,1,14,2,33,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,9,10,9,1,29,17,225,750,12,11,2,2,2,6,15,0,13,4,20,1,14,5,40,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,10,10,10,1,35,19,350,1200,75,12,2,2,2,6,12,0,13,4,20,1,14,5,60,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
6,11,10,11,2,42,22,400,2500,100,13,0,0,2,6,22,4,13,8,20,0,14,5,65,0,9,10,10,8,2,6,10,10,15,10,20,8,20,12,10,8,9,12,10,12
6,12,10,12,2,50,22,450,4000,200,14,0,0,2,6,22,0,13,8,30,1,14,5,70,0,9,11,10,9,2,7,10,11,15,11,20,8,20,12,10,9,9,12,10,12
6,13,10,13,2,60,22,500,6000,300,15,0,0,2,6,35,0,13,8,25,0,14,3,75,2,9,12,10,10,2,8,10,12,15,12,20,9,20,12,10,10,9,12,10,12
6,14,10,15,2,70,22,3000,30000,2500,20,0,0,2,6,40,4,13,7,35,0,14,3,75,0,9,12,10,12,2,12,10,12,15,12,20,9,20,12,10,11,9,12,10,12
6,15,10,15,2,80,22,3200,32000,2900,21,0,0,2,6,50,4,13,7,60,0,14,2,100,0,9,12,10,12,2,12,10,12,15,12,20,10,20,12,10,12,9,12,10,12
7,1,10,5,1,24,15,125,600,5,10,0,2,1,255,4,0,1,0,2,0,1,1,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,2,10,5,1,28,15,150,700,5,10,0,2,1,0,5,0,1,1,3,0,1,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,3,10,6,1,32,15,175,800,5,11,0,2,1,0,6,0,1,1,4,0,1,2,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,4,10,6,1,36,16,225,1200,5,11,0,2,1,0,10,0,1,1,6,2,1,2,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,5,10,7,1,40,16,275,1500,5,11,0,2,1,1,12,0,1,2,8,0,1,3,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,6,10,7,1,45,16,350,1800,10,12,0,2,1,1,15,0,1,2,9,2,1,3,6,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
7,7,10,8,1,50,17,450,2500,15,13,0,0,1,253,10,1,1,255,25,0,1,4,7,0,4,9,4,7,4,6,1,1,1,4,1,4,2,6,6,4,20,7,20,8
7,8,10,8,1,60,17,550,2700,15,13,0,0,1,254,10,0,1,0,25,0,1,4,8,0,4,9,4,6,4,7,1,4,1,5,1,6,2,7,6,8,20,7,20,8
7,9,10,9,1,60,18,700,3000,20,14,0,0,1,255,10,1,1,1,25,0,1,5,50,0,4,9,4,8,4,8,1,6,1,7,1,8,2,8,6,9,20,10,20,1
7,10,10,9,1,60,19,800,3300,25,14,0,0,1,255,20,1,1,1,25,0,1,5,50,0,4,9,4,5,4,8,1,6,1,7,1,8,2,8,6,9,20,10,20,11
7,11,10,10,2,60,19,800,4500,45,15,0,0,1,255,20,0,1,1,35,0,1,5,50,0,4,9,4,6,4,8,21,12,15,12,15,11,2,10,6,12,20,10,20,9
7,12,10,11,2,60,23,1000,5000,55,15,0,0,1,255,20,1,1,1,35,0,1,5,50,0,4,9,4,11,4,8,15,12,1,12,1,10,2,11,6,12,20,10,20,10
7,13,10,12,2,80,24,1200,7500,65,15,0,0,1,255,25,0,1,1,35,0,1,5,100,0,4,9,4,11,4,8,1,12,15,12,1,11,2,12,6,12,20,12,20,12
7,14,10,15,2,89,30,2000,32000,3000,15,0,0,1,255,125,1,1,1,55,0,1,5,100,0,4,12,4,12,4,8,1,12,1,12,1,12,2,12,6,12,20,10,20,12
7,15,10,15,3,99,30,3200,32000,3200,25,0,0,1,255,175,1,1,1,55,0,1,5,200,0,4,12,4,12,4,8,1,12,1,12,1,12,2,12,6,12,20,10,20,12
8,1,7,2,1,20,12,25,50,4,1,6,10,65,0,1,0,115,255,2,0,115,1,0,0,12,1,15,1,15,1,8,2,8,1,20,4,9,1,9,1,7,1,11,1
8,2,7,2,1,20,15,35,60,6,1,6,10,65,0,2,0,115,0,3,0,115,2,0,0,12,3,15,2,3,2,8,2,8,3,20,4,9,1,8,3,9,1,9,1
8,3,7,2,1,20,10,45,75,8,1,6,9,65,1,3,0,115,1,4,0,115,3,1,0,15,5,8,4,3,4,8,3,8,5,20,4,9,2,2,4,9,2,9,4
8,4,7,3,1,24,21,50,150,9,3,5,9,40,1,4,0,40,0,3,0,40,2,1,0,15,5,7,7,3,7,8,4,8,7,20,5,9,3,2,4,9,2,9,4
8,5,7,4,1,25,13,60,200,10,3,5,8,40,1,5,0,40,1,4,0,40,3,2,0,20,6,11,9,3,7,8,5,8,9,20,6,9,3,2,6,9,3,9,6
8,6,7,5,1,39,15,75,350,15,4,5,8,40,0,7,0,40,2,5,0,40,3,3,0,21,3,10,6,3,8,8,6,8,10,20,7,9,4,2,7,9,4,9,7
8,7,7,6,1,45,17,90,500,20,5,4,7,42,0,8,0,42,3,4,0,42,3,2,0,4,7,10,10,3,9,8,7,8,11,20,8,9,5,2,8,9,6,9,8
8,8,7,8,1,50,22,150,1000,30,6,4,7,42,255,10,2,42,2,5,0,42,3,3,0,6,5,6,7,3,12,8,8,8,11,20,9,9,6,2,9,9,8,9,9
8,9,7,9,1,55,19,175,1500,60,7,3,6,42,255,12,0,42,2,6,0,42,3,4,0,1,5,4,8,3,12,8,9,8,12,20,10,9,7,2,10,9,10,9,10
8,10,7,10,1,60,20,200,2000,90,8,3,6,42,255,15,2,42,3,8,0,42,4,4,0,12,12,15,8,3,12,8,10,8,12,20,11,9,11,2,11,1,12,10,11
8,11,7,12,1,70,25,210,3000,110,9,2,3,42,255,20,0,42,3,9,0,42,4,5,0,9,12,1,12,2,12,9,12,1,12,2,12,1,12,2,12,6,12,10,12
8,12,7,13,1,80,22,400,4000,130,9,2,3,42,255,30,2,42,3,10,0,42,4,8,0,9,12,1,12,4,12,9,12,1,12,4,12,1,12,4,12,1,12,10,12
8,13,7,15,2,80,25,600,5500,150,9,2,3,42,255,30,0,42,3,10,0,42,4,8,0,9,12,20,12,2,12,9,12,20,12,2,12,20,12,2,12,6,12,10,12
8,14,7,15,2,80,30,2500,30000,2900,15,0,0,42,255,30,0,42,3,78,0,42,4,125,0,9,12,2,12,4,12,9,12,2,12,4,12,2,12,4,12,20,12,10,12
8,15,7,15,2,80,35,3200,32000,3200,15,0,0,42,255,30,2,42,6,100,0,42,6,200,0,9,12,2,12,4,12,9,12,2,12,4,12,2,12,4,12,2,12,10,12
9,1,6,3,1,10,12,5,36,0,1,10,8,0,5,0,2,0,0,0,0,0,0,0,0,8,1,8,1,8,1,8,1,21,1,8,1,11,1,11,1,7,1,7,2
9,2,6,3,1,12,12,15,45,0,1,10,8,0,5,0,0,0,0,0,0,0,0,0,0,8,1,8,2,8,1,8,2,21,2,11,1,11,1,7,1,7,2,7,3
9,3,6,4,1,15,12,25,75,0,1,10,7,0,5,0,2,0,0,0,0,0,0,0,0,8,2,8,3,8,4,8,4,21,3,11,2,11,2,3,3,3,2,9,1
9,4,6,4,1,21,14,50,200,5,2,9,7,2,3,0,2,2,1,0,0,2,255,4,0,6,3,6,5,8,5,6,4,21,4,8,9,4,3,7,10,0,3,9,4
9,5,6,5,1,25,15,80,300,8,3,9,7,2,4,2,0,2,2,4,0,2,255,8,0,6,4,6,6,8,7,7,9,21,5,10,5,4,4,7,11,0,4,9,5
9,6,6,5,1,28,16,110,400,12,3,9,6,2,5,4,0,2,3,6,2,2,255,12,0,6,6,6,8,8,9,7,10,21,6,10,6,4,5,7,12,0,5,9,6
9,7,6,6,1,40,17,275,600,18,4,7,6,2,6,0,0,7,2,250,2,2,2,0,0,6,8,6,7,8,9,6,6,21,9,8,9,4,5,7,10,0,12,9,6
9,8,6,6,1,45,18,325,800,26,5,7,6,2,6,2,0,7,4,252,2,2,4,2,0,6,9,6,8,8,9,6,7,21,9,8,9,4,7,7,10,0,11,9,6
9,9,6,7,1,50,18,390,1000,30,6,7,5,2,6,4,0,7,6,254,2,2,6,4,0,6,10,6,7,8,10,6,4,21,10,8,12,4,6,7,12,0,10,9,6
9,10,8,8,1,60,18,500,1500,35,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,10,1,8,1,6,21,10,4,7,4,6,20,7,10,10,9,8
9,11,8,9,1,60,19,600,2500,40,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,10,1,8,1,7,21,10,4,8,4,7,20,8,10,11,9,9
9,12,8,10,1,75,20,700,4000,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,11,1,9,1,8,21,10,4,9,4,8,20,10,10,12,9,10
9,13,8,11,2,75,21,1250,5000,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,12,1,9,1,10,21,11,4,10,4,9,20,12,10,12,9,10
9,14,8,12,2,75,25,2000,30000,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,12,1,9,1,11,21,11,4,10,4,9,20,12,10,12,9,10
9,15,8,15,2,75,25,32000,32000,1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,12,1,9,1,11,21,11,4,10,4,9,20,12,10,12,9,10
10,1,7,3,1,22,15,25,250,0,2,2,6,1,0,0,0,1,0,1,0,1,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,2,7,3,1,26,16,31,300,0,2,2,6,1,1,0,0,1,0,2,0,1,0,4,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,3,7,3,1,30,17,40,350,2,3,2,5,1,2,0,0,1,1,3,0,1,0,6,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,4,7,3,1,35,18,55,400,2,3,2,5,1,2,0,0,1,1,5,0,1,0,8,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,5,7,6,1,45,20,80,500,4,4,0,3,1,3,4,0,1,0,2,1,1,254,19,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,6,7,6,1,55,21,105,600,6,5,0,3,1,3,8,0,1,0,3,1,1,254,27,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,7,7,8,1,65,22,130,700,7,6,0,2,1,4,12,0,1,0,4,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,8,7,8,1,75,23,160,2100,9,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,9,7,10,1,75,23,190,2500,50,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
10,10,7,11,1,75,23,240,5000,75,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,1,8,1,7,1,10,1,11,1,10,1,12,1,10,1,8,1,10,1,8
10,11,7,12,1,75,23,328,7500,125,8,0,2,1,5,16,0,1,0,5,1,1,254,65,0,1,8,1,7,1,10,1,11,1,10,1,12,1,10,1,8,1,10,1,8
10,12,7,13,1,75,23,400,9000,175,9,0,2,1,5,16,0,1,0,5,1,1,254,65,0,1,9,1,7,1,10,1,11,1,10,1,12,1,10,1,9,1,10,1,9
10,13,7,15,1,75,23,500,12000,225,9,0,2,1,5,16,0,1,0,5,1,1,254,65,0,1,9,1,8,1,10,1,11,1,10,1,12,1,10,1,9,1,10,1,9
10,14,7,15,1,75,23,2100,30000,2100,12,0,2,1,5,16,0,1,0,5,1,1,254,65,0,1,10,1,8,1,10,1,12,1,10,1,12,1,10,1,10,1,10,1,10
