Map,MapIndex,NameSingle,NamePlural,?,Count,Adds,?,?,?,RewardXP,RewardGold,?,?,?,?,?,?,HP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,7,Scorpion,Scorpions,0,1,0,6,0,0,25,30,4,7,2,75,22,106,750,15,4,0,2,42,4,6,0,3,1,18,0,20,254,40,4,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,8,Scorpion,Scorpions,0,1,1,6,0,0,25,30,4,7,2,75,22,106,750,15,4,0,2,42,4,6,0,3,1,18,0,20,254,40,4,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,9,Mountain Lion,Mountain Lions,0,1,0,4,0,0,20,20,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
1,10,Copper Ogre,Copper Ogres,0,1,1,6,0,30,20,40,1,4,1,32,12,34,120,9,5,2,3,40,4,0,0,40,2,1,0,40,0,4,0,8,5,8,5,8,5,6,4,6,4,6,4,6,4,1,5,1,5,1,5
1,11,Goblin,Goblins,1,1,0,5,0,25,20,30,8,11,2,60,24,700,10000,200,15,0,2,2,255,24,2,42,2,12,0,42,4,10,0,6,12,1,10,4,8,4,10,3,9,1,10,9,10,2,7,0,9,20,9
1,12,Giant Spider,Giant Spiders,0,1,1,8,0,0,30,40,5,8,2,75,21,145,500,60,7,0,2,1,254,0,1,1,0,12,0,1,4,8,0,8,11,8,11,4,7,1,4,1,5,1,6,6,8,6,8,20,4,20,4
1,13,Giant Spider,Giant Spiders,1,1,0,8,0,0,30,40,5,8,2,75,21,145,500,60,7,0,2,1,254,0,1,1,0,12,0,1,4,8,0,8,11,8,11,4,7,1,4,1,5,1,6,6,8,6,8,20,4,20,4
1,14,Skeletal Thief,Skeletal Thieves,0,1,1,10,0,25,20,40,5,5,1,36,15,60,110,3,3,2,4,3,2,2,0,3,255,0,1,3,5,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,15,Skeletal Thief,Skeletal Thieves,1,1,0,10,0,25,20,40,5,5,1,36,15,60,110,3,3,2,4,3,2,2,0,3,255,0,1,3,5,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,16,Imp,Imps,0,1,0,10,15,20,60,100,10,6,1,60,24,400,1200,11,6,0,3,42,255,35,0,42,1,11,0,12,6,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,17,Imp,Imps,0,1,1,10,15,20,60,100,10,6,1,60,24,400,1200,11,6,0,3,42,255,35,0,42,1,11,0,12,6,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,18,Orc Ranger,Orc Rangers,0,1,0,12,0,25,40,50,2,3,1,22,11,10,65,0,2,5,7,65,2,1,0,57,3,0,0,8,1,2,0,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1
1,19,Halfling Thief,Halfling Thieves,0,1,1,18,10,25,40,50,2,6,1,45,17,105,560,9,6,3,4,103,255,8,0,58,3,2,0,41,2,2,0,21,7,8,5,8,5,7,9,7,9,20,9,8,6,8,6,6,5,11,7
1,20,Dwarf Knight,Dwarf Knights,0,1,0,10,0,25,40,50,2,3,1,30,14,100,400,35,3,6,6,39,0,3,0,66,1,2,2,102,3,1,0,20,4,20,4,8,2,8,2,8,2,8,2,8,2,15,4,15,4,15,4
1,21,Human Barbarian,Human Barbarians,0,1,0,8,0,25,40,50,12,6,2,110,22,400,9000,11,12,0,6,65,2,35,0,65,1,18,0,65,6,8,2,8,12,6,12,4,12,8,12,1,6,1,7,1,8,3,8,20,4,20,6
1,22,Gremlin Cleric,Gremlin Clerics,0,1,1,15,20,25,50,50,2,6,1,42,14,80,300,6,8,5,9,104,3,4,0,8,254,15,0,116,1,6,0,21,6,1,5,0,6,20,2,6,5,4,4,8,6,8,7,6,6,3,4
1,23,Gnome Wizard,Gnome Wizards,1,1,0,18,30,25,50,75,2,4,1,19,8,9,33,0,6,9,12,65,2,0,0,57,0,1,0,8,3,0,0,15,2,15,2,12,2,15,2,15,2,15,2,8,1,8,1,8,1,11,1
1,24,Mountain Lion,Mountain Lions,1,1,1,4,0,0,10,20,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
1,25,Wolf,Wolves,1,1,1,4,0,0,10,15,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
1,26,Troll Knight,Troll Knights,1,1,1,5,10,40,45,60,2,5,1,50,16,450,600,40,5,8,2,58,1,8,0,104,2,3,0,115,4,3,0,20,4,8,11,8,11,15,9,11,9,6,6,1,4,1,5,0,5,21,7
1,27,Elf Cleric,Elf Clerics,1,1,1,8,25,40,30,45,2,4,1,29,13,53,180,4,4,6,6,102,0,3,0,67,1,3,2,40,3,0,0,15,5,15,5,0,4,8,4,8,4,11,4,7,3,8,4,3,2,6,4
1,28,Gnome Barbarian,Gnome Barbarians,2,2,1,4,0,40,50,75,11,3,1,20,12,20,50,0,4,5,9,40,1,5,0,115,2,2,0,8,0,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,29,Cro-Lizard,Cro-Lizards,2,1,1,6,15,35,60,90,1,5,1,28,16,275,700,60,10,0,2,67,0,7,0,67,1,4,0,67,2,2,0,8,12,6,8,4,5,3,7,9,6,10,7,0,5,6,6,4,4,7,7
1,30,Raptor,Raptors,0,1,1,20,0,0,60,70,4,6,1,36,16,40,200,8,3,2,4,2,3,2,0,3,1,8,0,20,254,20,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,31,Leech,Leeches,2,2,1,15,0,0,50,70,5,7,1,48,22,260,500,12,3,0,2,2,6,8,0,13,1,20,0,14,0,0,1,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,32,Cranky Dwarf Wizard,Cranky Dwarf Wizards,1,1,1,15,40,40,60,100,2,4,1,34,12,45,201,6,6,5,8,40,2,6,0,66,3,4,0,101,1,3,0,12,4,8,3,8,3,8,3,19,2,20,2,6,5,6,5,8,5,7,10
1,33,Ornery Human Thief,Ornery Human Thieves,2,2,1,15,18,40,45,60,2,5,1,30,13,75,320,4,4,4,6,66,2,5,0,102,3,2,0,8,4,2,2,7,5,7,5,7,5,7,5,11,3,11,3,11,3,21,2,21,2,21,2
1,34,Vicious Orc Barbarian,Vicious Orc Barbarians,0,2,1,15,5,40,90,125,11,8,1,60,20,150,750,15,5,4,5,58,1,24,0,42,6,0,0,102,3,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,35,Bronze Ogre,Bronze Ogres,0,3,0,18,0,35,75,115,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
1,36,Bronze Ogre,Bronze Ogres,1,2,0,16,0,35,75,115,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
1,37,Bronze Ogre,Bronze Ogres,1,2,1,16,0,35,75,115,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
1,38,Bronze Ogre,Bronze Ogres,1,2,1,16,0,35,75,115,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
1,39,Bronze Ogre,Bronze Ogres,2,2,1,12,0,35,75,115,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
2,0,Wolf,Wolves,1,1,2,4,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
2,1,Wolf,Wolves,2,1,1,6,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
2,2,Wolf,Wolves,0,1,1,8,0,0,8,30,3,7,2,60,24,350,550,50,12,0,2,1,6,5,0,2,8,4,0,21,254,75,2,0,6,8,12,3,8,6,10,2,6,10,8,1,6,1,8,20,7,4,7
2,3,Snake,Snakes,0,1,2,6,0,0,10,20,4,6,1,30,16,60,180,6,2,3,5,3,3,3,0,15,255,255,2,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,4,Snake,Snakes,1,1,1,6,0,0,10,20,4,6,1,30,16,60,180,6,2,3,5,3,3,3,0,15,255,255,2,17,0,8,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,5,Snake,Snakes,0,1,2,6,0,0,10,25,4,6,1,36,18,90,200,6,2,3,5,3,4,3,0,15,255,254,2,17,0,10,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,6,Elf Ranger,Elf Rangers,1,1,1,6,0,35,40,60,2,6,1,110,21,650,1100,60,6,9,1,68,3,10,2,40,4,6,0,115,2,9,0,20,8,8,4,8,5,6,10,15,8,19,3,21,6,21,6,1,8,1,9
2,7,Human Thief,Human Thieves,0,1,1,8,15,35,50,100,2,4,1,27,12,55,270,4,3,4,6,40,3,4,0,66,2,2,2,101,4,0,0,7,4,7,4,7,4,7,4,11,3,11,3,11,3,21,1,21,1,21,1
2,8,Troll Knight,Troll Knights,1,1,1,5,10,35,50,100,2,4,1,46,16,350,500,35,5,7,3,92,1,7,0,66,2,3,2,104,4,3,0,20,3,8,10,8,10,8,9,8,9,15,8,15,8,12,6,0,4,21,6
2,9,Gnome Barbarian,Gnome Barbarians,1,1,1,3,0,35,40,60,11,3,1,17,10,16,40,0,3,5,10,40,1,3,0,115,2,1,0,8,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,10,Halfling Cleric,Halfling Clerics,1,1,1,8,25,35,50,100,2,9,2,75,19,290,800,8,12,6,6,104,3,3,0,41,255,16,0,67,5,8,0,21,9,1,8,4,10,20,7,9,8,0,6,3,4,6,9,11,12,4,7
2,11,Dwarf Wizard,Dwarf Wizards,1,1,1,10,45,35,100,150,2,3,1,25,10,27,152,4,5,5,9,39,2,4,0,115,3,2,0,101,1,2,0,12,3,12,5,8,2,8,2,8,2,8,4,19,1,19,1,8,4,7,10
2,12,Cave Bear,Cave Bears,0,1,1,20,0,0,50,50,3,6,2,36,17,225,600,60,12,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,9,6,8,6,9,8,12,16,6,1,7,4,6,20,8,1,4,0,6
2,13,Cave Bear,Cave Bears,1,1,1,20,0,0,50,50,3,6,2,36,17,225,600,60,12,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,9,6,8,6,9,8,12,16,6,1,7,4,6,20,8,1,4,0,6
2,14,Cave Bear,Cave Bears,1,2,1,20,0,0,50,50,3,6,2,36,17,225,600,60,12,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,9,6,8,6,9,8,12,16,6,1,7,4,6,20,8,1,4,0,6
2,15,Cave Bear,Cave Bears,2,1,1,20,0,0,60,50,3,6,2,36,17,225,600,60,12,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,9,6,8,6,9,8,12,16,6,1,7,4,6,20,8,1,4,0,6
2,16,Cave Bear,Cave Bears,0,1,1,24,0,0,50,60,3,6,2,40,18,250,750,75,13,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,10,6,10,6,12,8,12,16,8,1,9,4,8,20,10,1,6,0,8
2,17,Cave Bear,Cave Bears,1,1,1,24,0,0,50,60,3,6,2,40,18,250,750,75,13,0,3,1,6,1,0,2,2,6,0,2,255,30,0,9,10,6,10,6,12,8,12,16,8,1,9,4,8,20,10,1,6,0,8
2,18,Human Barbarian,Human Barbarians,1,2,1,10,5,15,50,75,12,6,2,110,22,400,9000,11,12,0,6,65,2,35,0,65,1,18,0,65,6,8,2,8,12,6,12,4,12,8,12,1,6,1,7,1,8,3,8,20,4,20,6
2,19,Gnome Thief,Gnome Thieves,2,3,1,15,10,15,40,100,2,8,1,65,19,380,500,16,8,5,6,58,255,18,0,40,3,9,0,101,6,6,0,4,5,6,7,21,5,20,6,1,7,10,7,9,9,3,4,15,10,0,9
2,20,Gremlin Wizard,Gremlin Wizards,1,1,1,12,40,15,100,50,2,9,2,55,17,150,460,9,12,11,9,104,3,9,0,8,255,16,2,116,6,5,0,21,7,1,9,10,11,20,4,3,5,6,7,7,9,8,11,8,11,11,10
2,21,Troll Cleric,Troll Clerics,1,1,2,12,30,15,50,75,2,3,1,20,9,9,30,0,4,8,10,102,2,1,0,40,1,1,0,101,3,0,0,12,1,12,1,12,1,12,1,12,1,12,1,8,1,8,1,11,1,7,1
2,22,Halfling Ranger,Halfling Rangers,1,2,1,12,15,15,50,80,2,4,1,37,13,80,144,3,3,6,6,66,0,5,0,102,3,2,0,8,1,4,2,15,5,12,5,7,5,7,5,6,4,6,4,6,4,6,4,1,2,21,4
2,23,Orc Knight,Orc Knights,1,2,1,12,15,15,60,75,1,9,2,60,26,325,900,90,12,3,1,65,3,20,4,115,6,6,0,8,255,40,0,8,12,4,9,6,8,8,12,10,12,20,6,1,7,0,9,21,9,1,9
2,24,Dwarf Knight,Dwarf Knights,1,2,1,5,5,30,50,40,2,3,1,30,14,100,400,35,3,6,6,39,0,3,0,66,1,2,2,102,3,1,0,20,4,20,4,8,2,8,2,8,2,8,2,8,2,15,4,15,4,15,4
2,25,Elf Cleric,Elf Clerics,0,2,1,8,25,30,80,40,2,4,1,25,13,40,140,3,4,6,7,102,0,3,0,66,1,2,2,57,3,0,0,15,4,15,4,0,4,8,3,8,3,11,3,7,2,8,3,3,2,6,3
2,26,Troll Ranger,Troll Rangers,1,2,1,6,5,30,40,40,2,5,1,66,17,180,450,4,5,5,5,67,2,5,0,40,255,7,0,115,4,4,2,4,6,4,6,3,2,4,7,6,5,6,5,21,6,21,6,20,4,20,4
2,27,Orc Barbarian,Orc Barbarians,1,2,1,4,5,30,50,40,11,5,1,36,17,80,180,9,3,5,7,38,1,3,2,40,4,0,0,115,2,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,28,Cave Lion,Cave Lions,0,1,5,20,0,0,20,20,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
2,29,Cave Lion,Cave Lions,1,2,2,18,0,0,24,25,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
2,30,Cave Lion,Cave Lions,1,3,2,18,0,0,24,25,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
2,31,Cave Lion,Cave Lions,0,3,1,15,0,0,26,25,3,6,2,74,24,500,1200,80,13,2,2,1,255,50,0,2,1,17,0,2,1,17,0,8,12,10,12,0,8,4,7,4,9,4,11,12,8,1,10,1,8,20,5
2,32,Bronze Ogre,Bronze Ogres,2,3,1,15,0,25,80,25,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
2,33,Bronze Ogre,Bronze Ogres,0,2,1,12,0,25,80,36,1,4,2,44,18,94,240,16,9,2,3,40,6,5,0,40,2,8,0,40,1,12,0,8,9,6,8,1,5,11,6,10,4,20,4,8,7,6,6,1,4,11,6
