Map,MapIndex,NameSingle,NamePlural,a0,Count,Adds,a1,PAR,MAR,XP,Gold,b0,b1,b2,Str,Def,Dex,HP,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,sp0,sl0,sp1,sl1,sp2,sl2,sp3,sl3,sp4,sl4,sp5,sl5,sp6,sl6,sp7,sl7,sp8,sl8,sp9,sl9
0,38,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
0,39,Wolf,Wolves,1,1,1,4,0,0,0,0,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,0,Wolf,Wolves,0,1,0,4,0,0,8,30,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,1,Wolf,Wolves,0,1,1,4,0,0,8,30,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,2,Wolf,Wolves,0,2,0,6,0,0,8,30,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,3,Snake,Snakes,0,1,0,6,0,0,10,20,4,3,1,12,8,5,18,2,1,0,9,3,2,0,0,3,255,2,0,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,4,Snake,Snakes,0,1,1,6,0,0,10,20,4,3,1,12,8,5,18,2,1,0,9,3,2,0,0,3,255,2,0,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,5,Coelus,Coeluses,0,1,0,6,0,0,15,30,4,3,1,12,8,6,25,1,1,4,7,2,0,1,0,6,0,254,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,6,Coelus,Coeluses,0,1,1,6,0,0,15,30,4,3,1,12,8,6,25,1,1,4,7,2,0,1,0,6,0,254,0,2,3,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,7,Scorpion,Scorpions,0,1,0,6,0,0,25,30,5,2,1,16,9,16,28,2,1,4,7,2,1,0,0,13,2,252,1,2,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,8,Scorpion,Scorpions,0,1,1,6,0,0,25,30,5,2,1,16,9,16,28,2,1,4,7,2,1,0,0,13,2,252,1,2,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,9,Mountain Lion,Mountain Lions,0,1,0,4,0,0,20,20,3,2,1,12,6,10,16,1,1,0,8,1,0,0,0,2,255,1,0,2,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,10,Copper Ogre,Copper Ogres,0,1,1,6,0,30,20,40,11,2,1,12,7,6,20,0,1,6,10,65,0,1,0,101,1,0,0,8,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,11,Goblin,Goblins,1,1,0,5,0,25,20,30,11,3,1,14,9,12,30,0,2,5,11,40,2,0,0,115,3,0,0,8,255,5,0,255,1,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,12,Giant Spider,Giant Spiders,0,1,1,8,0,0,30,40,5,2,1,16,7,16,30,0,1,3,7,3,1,0,0,3,0,255,0,3,255,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,13,Giant Spider,Giant Spiders,1,1,0,8,0,0,30,40,5,2,1,16,7,16,30,0,1,3,7,3,1,0,0,3,0,255,0,3,255,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,14,Skeletal Thief,Skeletal Thieves,0,1,1,10,0,25,20,40,7,2,1,12,7,8,20,0,1,4,10,65,0,1,0,115,255,2,0,115,1,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,15,Skeletal Thief,Skeletal Thieves,1,1,0,10,0,25,20,40,7,2,1,12,7,8,20,0,1,4,10,65,0,1,0,115,255,2,0,115,1,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,16,Imp,Imps,0,1,0,10,15,20,60,100,1,3,1,16,8,9,20,2,4,4,6,2,2,255,0,2,0,1,0,2,255,4,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1
1,17,Imp,Imps,0,1,1,10,15,20,60,100,1,3,1,16,8,9,20,2,4,4,6,2,2,255,0,2,0,1,0,2,255,4,0,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1,8,1
1,18,Orc Ranger,Orc Rangers,0,1,0,12,0,25,40,50,2,3,1,19,10,4,40,0,1,5,7,102,0,0,0,65,3,0,0,101,0,0,0,12,1,12,1,12,1,12,1,15,1,15,1,8,1,8,1,7,1,7,1
1,19,Halfling Thief,Halfling Thieves,0,1,1,18,10,25,40,50,2,4,1,18,7,6,25,0,6,9,12,65,2,0,0,101,0,1,0,8,3,0,0,15,1,15,1,12,1,15,1,15,1,15,1,15,1,8,1,8,1,11,1
1,20,Dwarf Knight,Dwarf Knights,0,1,0,10,0,25,40,50,2,2,1,18,8,7,50,0,1,6,9,115,3,0,0,101,2,0,0,8,4,0,0,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1
1,21,Human Barbarian,Human Barbarians,0,1,0,8,0,25,40,50,2,2,1,21,9,4,30,0,2,4,8,65,1,0,0,115,2,0,0,8,3,0,0,15,1,15,1,15,1,15,1,15,1,8,1,8,1,8,1,11,1,7,1
1,22,Gremlin Cleric,Gremlin Clerics,0,1,1,15,20,25,50,50,1,2,1,19,7,4,30,0,5,5,9,65,2,0,0,101,0,2,0,8,1,1,0,12,1,12,1,12,1,12,1,12,1,12,1,12,1,8,1,8,1,8,1
1,23,Gnome Wizard,Gnome Wizards,1,1,0,18,30,25,50,75,1,4,1,17,8,5,48,0,8,8,10,65,0,0,0,8,0,0,0,8,3,0,0,21,1,21,1,8,1,8,1,8,1,8,1,11,1,11,1,11,1,11,1
1,24,Mountain Lion,Mountain Lions,1,1,1,4,0,0,10,20,3,2,1,12,6,10,16,1,1,0,8,1,0,0,0,2,255,1,0,2,254,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,25,Wolf,Wolves,1,1,1,4,0,0,10,15,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,26,Troll Knight,Troll Knights,1,1,1,5,10,40,45,60,2,2,1,23,9,18,54,0,2,7,8,40,0,1,0,115,2,0,0,65,1,1,0,15,2,12,3,7,2,7,2,7,2,7,2,7,2,7,2,8,2,11,2
1,27,Elf Cleric,Elf Clerics,1,1,1,8,25,40,30,45,1,2,1,20,9,14,35,0,6,4,9,57,2,1,0,101,3,0,0,8,1,2,0,12,3,12,3,12,3,12,3,19,1,19,1,19,1,19,1,8,2,8,2
1,28,Gnome Barbarian,Gnome Barbarians,2,2,1,4,0,40,50,75,2,3,1,22,11,10,65,0,2,5,7,65,2,1,0,57,3,0,0,8,1,2,0,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1
1,29,Cro-Lizard,Cro-Lizards,2,1,1,6,15,35,60,90,11,3,1,20,10,21,70,2,1,4,9,10,0,1,0,10,255,2,0,10,1,255,0,8,1,8,1,8,1,8,1,8,1,8,1,11,1,11,1,11,1,11,1
1,30,Raptor,Raptors,0,1,1,20,0,0,60,70,4,5,1,25,14,30,75,6,2,3,5,2,2,3,0,3,0,5,0,19,1,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,31,Leech,Leeches,2,2,1,15,0,0,50,70,5,2,1,20,12,19,100,2,2,3,9,1,255,4,0,1,0,2,0,1,1,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,32,Cranky Dwarf Wizard,Cranky Dwarf Wizards,1,1,1,15,40,40,60,100,1,6,1,20,10,24,88,2,5,9,6,65,2,3,0,115,3,1,0,101,4,0,0,21,3,8,7,11,9,20,4,3,3,1,3,1,3,6,6,6,7,4,1
1,33,Ornery Human Thief,Ornery Human Thieves,2,2,1,15,18,40,45,60,2,4,1,21,8,15,66,1,4,7,11,57,3,1,0,115,1,2,0,101,0,4,0,12,4,12,4,12,4,11,2,15,3,15,3,8,2,8,2,6,3,3,1
1,34,Vicious Orc Barbarian,Vicious Orc Barbarians,0,2,1,15,5,40,90,125,2,2,1,25,12,30,200,1,2,5,8,57,0,2,0,102,1,1,0,8,3,0,0,20,2,20,2,20,2,20,2,20,2,15,3,15,3,15,3,12,2,12,2
1,35,Bronze Ogre,Bronze Ogres,0,3,0,18,0,35,75,115,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,36,Bronze Ogre,Bronze Ogres,1,2,0,16,0,35,75,115,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,37,Bronze Ogre,Bronze Ogres,1,2,1,16,0,35,75,115,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,38,Bronze Ogre,Bronze Ogres,1,2,1,16,0,35,75,115,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
1,39,Bronze Ogre,Bronze Ogres,2,2,1,12,0,35,75,115,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,0,Wolf,Wolves,1,1,2,4,0,0,8,30,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,1,Wolf,Wolves,2,1,1,6,0,0,8,30,3,2,1,12,7,4,16,0,2,3,6,1,0,0,0,2,1,0,0,2,2,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,2,Wolf,Wolves,0,1,1,8,0,0,8,30,3,2,1,15,9,8,30,0,2,3,6,1,1,0,0,2,1,0,0,2,1,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,3,Snake,Snakes,0,1,2,6,0,0,10,20,4,3,1,12,8,5,18,2,1,0,9,3,2,0,0,3,255,2,0,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,4,Snake,Snakes,1,1,1,6,0,0,10,20,4,3,1,12,8,5,18,2,1,0,9,3,2,0,0,3,255,2,0,3,255,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,5,Snake,Snakes,0,1,2,6,0,0,10,25,4,4,1,14,10,14,20,2,1,0,9,3,2,0,0,3,0,1,0,3,0,4,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,6,Elf Ranger,Elf Rangers,1,1,1,6,0,35,40,60,2,4,1,21,9,12,50,2,3,6,8,102,1,1,0,40,0,3,0,57,3,0,0,12,1,12,1,12,1,12,1,12,1,12,1,8,1,8,1,8,1,8,1
2,7,Human Thief,Human Thieves,0,1,1,8,15,35,50,100,2,3,1,20,7,11,45,1,4,7,11,57,3,0,0,115,1,1,0,8,0,4,0,12,3,12,3,12,3,12,3,15,3,15,3,8,2,8,2,6,2,7,1
2,8,Troll Knight,Troll Knights,1,1,1,5,10,35,50,100,2,2,1,22,8,12,46,0,1,7,8,57,0,1,0,115,2,0,0,101,1,1,0,15,2,15,2,15,2,15,2,12,2,12,2,12,2,8,2,8,2,11,2
2,9,Gnome Barbarian,Gnome Barbarians,1,1,1,3,0,35,40,60,2,3,1,21,10,6,45,0,2,5,7,65,2,0,0,115,3,0,0,8,1,1,0,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1,15,1
2,10,Halfling Cleric,Halfling Clerics,1,1,1,8,25,35,50,100,1,3,1,17,8,8,34,0,8,6,12,115,0,1,0,57,3,0,0,8,255,4,0,12,1,12,1,12,1,12,1,12,1,8,2,8,2,8,2,8,2,8,2
2,11,Dwarf Wizard,Dwarf Wizards,1,1,1,10,45,35,100,150,1,5,1,17,8,10,60,1,5,10,7,65,1,2,0,101,2,1,0,8,4,0,0,21,2,21,2,8,2,8,2,8,2,8,2,20,2,11,2,11,2,11,2
2,12,Cave Bear,Cave Bears,0,1,1,20,0,0,50,50,3,4,1,14,10,12,50,2,1,4,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,13,Cave Bear,Cave Bears,1,1,1,20,0,0,50,50,3,4,1,14,10,12,50,2,1,4,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,14,Cave Bear,Cave Bears,1,2,1,20,0,0,50,50,3,4,1,14,10,12,50,2,1,4,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,15,Cave Bear,Cave Bears,2,1,1,20,0,0,60,50,3,4,1,14,10,12,50,2,1,4,6,1,0,255,0,2,3,254,0,2,0,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,16,Cave Bear,Cave Bears,0,1,1,24,0,0,50,60,3,4,1,16,11,18,70,3,1,4,6,1,1,0,0,2,2,255,0,2,0,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,17,Cave Bear,Cave Bears,1,1,1,24,0,0,50,60,3,4,1,16,11,18,70,3,1,4,6,1,1,0,0,2,2,255,0,2,0,1,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,18,Human Barbarian,Human Barbarians,1,2,1,10,5,15,50,75,2,2,1,21,9,4,30,0,2,4,8,65,1,0,0,115,2,0,0,8,3,0,0,15,1,15,1,15,1,15,1,15,1,8,1,8,1,8,1,11,1,7,1
2,19,Gnome Thief,Gnome Thieves,2,3,1,15,10,15,40,100,2,2,1,18,7,4,32,0,3,6,10,65,2,1,0,101,3,0,0,8,1,1,0,12,1,12,1,12,1,12,1,12,1,12,1,8,1,8,1,8,1,7,3
2,20,Gremlin Wizard,Gremlin Wizards,1,1,1,12,40,15,100,50,1,3,1,18,6,4,60,0,3,7,6,65,1,1,0,115,2,1,0,8,3,0,0,21,1,21,1,8,1,8,1,8,1,8,1,11,1,11,1,11,1,11,1
2,21,Troll Cleric,Troll Clerics,1,1,2,12,30,15,50,75,1,2,1,19,5,6,30,0,5,3,9,65,3,0,2,101,1,0,0,8,0,1,0,12,1,12,1,12,1,15,1,15,1,15,1,8,1,8,1,8,1,8,1
2,22,Halfling Ranger,Halfling Rangers,1,2,1,12,15,15,50,80,2,3,1,19,8,5,25,0,4,8,10,102,2,0,0,65,1,1,0,101,3,0,0,12,1,12,1,12,1,12,1,12,1,12,1,8,1,8,1,11,1,7,1
2,23,Orc Knight,Orc Knights,1,2,1,12,15,15,60,75,2,1,1,20,8,4,40,0,1,8,10,115,1,0,0,101,0,1,0,8,3,0,0,12,1,12,1,12,1,12,1,15,1,15,1,15,1,7,1,7,1,8,1
2,24,Dwarf Knight,Dwarf Knights,1,2,1,5,5,30,50,40,2,2,1,18,8,7,50,0,1,6,9,115,3,0,0,101,2,0,0,8,4,0,0,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1
2,25,Elf Cleric,Elf Clerics,0,2,1,8,25,30,80,40,1,2,1,19,8,9,30,0,6,3,10,115,2,0,0,57,3,0,0,8,1,1,0,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,12,2,8,1
2,26,Troll Ranger,Troll Rangers,1,2,1,6,5,30,40,40,2,2,1,20,8,5,30,0,2,7,8,102,0,1,0,65,1,0,0,101,3,0,0,15,1,15,1,12,1,12,1,8,1,8,1,11,1,11,1,6,1,6,1
2,27,Orc Barbarian,Orc Barbarians,1,2,1,4,5,30,50,40,2,2,1,22,9,5,50,0,2,4,9,65,0,0,0,115,0,1,0,8,3,0,0,20,1,20,1,20,1,20,1,20,1,15,1,15,1,15,1,12,1,12,1
2,28,Cave Lion,Cave Lions,0,1,5,20,0,0,20,20,3,3,1,20,8,25,21,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,29,Cave Lion,Cave Lions,1,2,2,18,0,0,24,25,3,3,1,20,8,25,21,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,30,Cave Lion,Cave Lions,1,3,2,18,0,0,24,25,3,3,1,20,8,25,21,10,2,2,6,1,4,255,0,2,2,2,0,2,0,3,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,31,Cave Lion,Cave Lions,0,3,1,15,0,0,26,25,3,3,1,25,10,50,30,15,3,2,6,1,4,255,0,2,3,2,0,2,0,5,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
2,32,Bronze Ogre,Bronze Ogres,2,3,1,15,0,25,80,25,11,3,1,24,10,30,60,2,2,5,9,40,1,0,0,115,2,0,0,101,1,2,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0
