#YSGENN.EXE, 291 strings
00021888,"Test"
000299D7,"Unable To Create Player Object!"
000299F7,"Unable To Create Personal Party!"
00029A18,"TSN Code 1"
00029A23,"TSN Code 2"
00029A2E,"TSN Code 3"
00029A39,"TSN Code 4"
00029A44,"TSN Code 5"
00029A4F,"TSN Code 6"
00029A5A,"rpgcomms.cpp"
00029A67,"TSN_NetSend() failed on command %d"
00029A8A," has joined your party."
00029AA2," has left your party."
00029AB8," joining your party..."
00029ACF,"rpgbbs.cpp"
00029ADA,"TSN_NetSend() failed on command %d"
00029BEE,"$ADLIB.ADV"
00029BF9,"ADLIB.ADV"
00029C03,"ADLIB.ADV"
00029C0D,"MT32MPU.ADV"
00029C19,"SBFM.ADV"
00029C22,"AD99.XMI"
00029C2B,"ADTIMBRE.GTL"
00029C38,"SBDIG.ADV"
00029C42,"Bad or Missing LSCI.CFG."
00029C5B,"Low Memory. Not loading Sound."
00029C7A,"Error Loading XMIDI Driver."
00029C99,"XMIDI Driver NOT Compatible"
00029CB5,"Driver NOT XMIDI."
00029CC7,"Could NOT find Sound Hardware."
00029CE6,"Error loading digital driver."
00029D04,"Digital driver NOT compatible."
00029D23,"Digital driver not DSP."
00029D3B,"Could NOT find digital sound hardware."
00029D62,"SFX01.VOC"
00029D6C,"Error loading wooddoor."
00029D84,"SFX03.VOC"
00029D8E,"Error loading footstep."
00029DA6,"SFX05.VOC"
00029DB0,"Error loading hitwall."
00029DC7,"SFX10.VOC"
00029DD1,"Error loading spell."
00029DE6,"SFX12.VOC"
00029DF0,"Error loading footstep."
00029E08,"SFX13.VOC"
00029E12,"Error loading teleport."
00029E2A,"SFX15.VOC"
00029E34,"Error loading footstep."
00029E4C,"THE DUNGEON CLOSES..."
00029E62,"Error loading XMI file."
00029E7D,"Could NOT find a Timbre."
00029EA5,"music"
00029EAD,"TANDYXL.DRV"
00029EB9,"ADL.DRV"
00029EC1,"MT32.DRV"
00029ECA,"SNDBLAST.DRV"
0002A002,"0123456789ABCDEF"
0002D81B,"vrhd`VRHD@"
0002D89A,"$)48CHSXchr"
0002D8CD,"****.TSU"
0002DD01,"$IMAGES.DAT"
0002DD0D,"PALETTE.DAT"
0002DD1D,"help.dat"
0002DD26,"help.dat"
0002DD2F,"Press Any Key To Exit"
0002DD45,"Memory Allocation Error"
0002DD5D,"Illegal Sprite Value"
0002DD72,"Attempt To Dispose Null Ptr (MEMMGR)"
0002DD97,"Attempt To Dispose Non-Allocated Ptr (MEMMGR)"
0002DDC5,"Attempt To Dispose Non-Linked Ptr (MEMMGR)"
0002DDF0,"Memory Allocation Error (MEMMGR)"
0002DE11,"Unable to Obtain New Handle (MEMMGR)"
0002DE36,"Illegal Sprite Parameters"
0002DE50,"Version Control Error"
0002DE66,"Unable To Find File : "
0002DE9B,"palette.dat"
0002E19B,"COMPAQ"
0002E200,"PATH"
